INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	Name	ProgramType	TargetType	ElementType	MPNeed	PrepareTime	TimeToMaxPower	IncrementDmg	AnimDuration	Cooldown	AttackCount	AttackTime	AttackCoefficient	DmgType	BaseVal	AbilityBonus	AttrType	AttackPosType	AreaType	AreaWidth	AreaLength	ReqBaseStatAmount	Discipline	Karma	ObjectID	SelfStatusID	DestStatusID	TrainingTime	AbilityDesc1	Value1Prefix	Value1Suffix	Value2Prefix	Value2Suffix	AddEffectTitle1	AddEffectDesc1	AddEffectTitle2	AddEffectDesc2	NewAddition	ShortName
ID	Name	type	TargetType	ElementType	mp need	PrepareTime	Time to Max Power	Increment Dmg	AnimDuration	Cooldown	AttackCount	AttackTime	AttackCoefficient	DmgType	BaseVal	AbilityBonus	Related BASE STAT	AttackPosType	Area of Effect	Area Width	AreaLength	ReqBaseStatAmount	Discipline	Karma	ObjectID	SelfStatusID	DestStatusID	TrainingTime	General description of ability	Ability effect description and related value	Value1Suffix	Ability effect description and related value	Value2Suffix	New training level effect added	AddEffectDesc1	New training level effect added	AddEffectDesc2	NewAddition	ShortName
10001	normal attack	0	0	-1	0	0	0	0	200	200	1	0	1	1	1	1	4	0	0	0	4	1	0	0	0			0											normal attack
10002	2h attack	0	0	-1	0	0	0	0	200	200	1	0	1	1	1	1	4	0	0	0	4	1	0	0	0			0											2h attack
10003	fist attack	0	0	-1	0	0	0	0	200	200	1	0	1	1	1	1	4	0	0	0	4	1	0	0	0			0											fist attack
10201	Swath of Destruction I	0	0	-1	200	0	0	0	500	3000	1	0	1	1	20	0.002	4	2	4	3	10	72	1	880	0			0	Damage enemies with a fast offensive dash.	Damage enemies in dash path.									Swath of Destruction 
10202	Swath of Destruction II	0	0	-1	200	0	0	0	500	3000	1	0	1	1	25	0.002	4	2	4	3	10	216	1	1600	0			0	Damage enemies with a fast offensive dash.	Damage enemies in dash path.								Damage increased.	Swath of Destruction 
10203	Swath of Destruction III	0	0	0	200	0	0	0	500	3000	1	0	1	1	30	0.0025	4	2	4	3	10	360	1	2800	0		40201	0	Damage and scatter enemies with a flaming offensive dash.	Damage, knockback to enemies in dash path.				[ff0000]Ignition:[-]	Knocks back enemies			Ignition added.	Swath of Destruction 
10204	Swath of Destruction IV	0	0	0	200	0	0	0	500	3000	1	0	1	1	35	0.0025	4	2	4	3	10	504	1	8000	0		40201	0	Damage and scatter enemies with a flaming offensive dash.	Damage, knockback to enemies in dash path.				[ff0000]Ignition:[-]	Knocks back enemies			Damage increased.	Swath of Destruction 
10205	Swath of Destruction V	0	0	0	200	0	0	0	500	3000	1	0	1	1	40	0.003	4	2	4	3	10	648	1	16800	0		40202+40201	0	Damage and scatter enemies with a flaming offensive dash. Sets enemies on Fire.	Damage, knockback to enemies in dash path and burn for 3s.				[ff0000]Ignition:[-]	Knocks back enemies	[ff0000]Human Fireball:[-]	Enemies are set on fire for 3 sec.	Human Fireball added.	Swath of Destruction 
