INT	INT	INT	INT	STRING	INT	INT	INT	INT
ObjectID	Type	SleepTime	Time	Param	SkillID	TargetType	GenTime	DynamicPos
ObjectID	Type	SleepTime	Time	Param	AbilityID	TargetType	GenTime	DynamicPos
1	0	0	5000	15	20001	0	0	0
2	0	0	5000	15	20002	0	0	0
11701	1	200	7000	3.5	21701	0	0	0
11702	1	200	7000	3.5	21702	0	0	0
11703	1	200	7000	3.5	21703	0	0	0
11704	1	200	7000	3.5	21704	0	0	0
11705	1	200	7000	3.5	21705	0	0	0
11706	1	200	7000	3.5	21706	0	0	0
11801	2	0	7000	3	21801	0	0	0
11802	2	0	7000	3	21802	0	0	0
11803	2	0	7000	4	21803	0	0	0
11804	2	0	7000	4	21804	0	0	0
11805	2	0	7000	4	21805	0	0	0
11806	2	0	7000	4	21806	0	0	0
11901	2	0	7000	2.5	21901	0	0	0
10701	1	0	2100	5.6	20201	0	0	0
10702	1	0	2100	5.6	20202	0	0	0
10703	1	0	3100	5.6	20203	0	0	0
10704	1	0	3100	5.6	20204	0	0	0
10705	1	0	3100	6.7	20205	0	0	0
10706	1	0	3100	6.7	20206	0	0	0
6	0	0	1250	12	50006	1	0	0
7	0	0	2500	12	50007	1	0	0
8	1	0	2500	12	50013	1	0	0
9	0	0	1250	12	50015	1	0	0
16	1	2000	1000	2.5	50013	1	0	1
19	1	2000	1000	2.5	50013	1	2000	1
20	1	2000	1000	2.5	50013	1	4000	1
17	3	0	2100	5.6	40101	0	0	0
18	1	0	5000	5.6	50028	0	0	0
21	1	1000	2500	10	50014	1	0	0
22	2	4000	1000	2.5	50030	1	0	0
