INT	STRING	INT	INT	INT	FLOAT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
ID	Name	ReplaceType	status type	Target	Bonus	Duration	Chance	ReplaceRule	EndCondition	Effect	Des	statusType	ContinueType	Tick	ActiveAtStart	elementType	IconIdx	UIPriority
ID	Buff Name	ReplaceType	status type	Target	NOT USED	Duration	Chance	NOT USED	NOT USED	Effect	Buff Description	statusType	NOT USED	NOT USED	NOT USED	Attack Element	II	UIPriority
40201	Swath of Destruction Knockback	0	0	0	2	400	100	0	0	50201	Swath of Destruction Knockback	304	0	0	0	-1	0	-1
40202	Swath of Destruction Burning	0	0	0	0.05	3000	100	0	0	50202	Swath of Destruction Burning	306	1	3	0	0	33	0
40301	Seeing Red I	3	0	2	0	10000	100	0	0	40301	Seeing Red I	111	0	0	0	-1	17	0
40302	Seeing Red II	3	0	2	0	10000	100	0	0	40302	Seeing Red II	111	0	0	0	-1	17	0
40303	Seeing Red III	3	0	2	0	12000	100	0	0	40303	Seeing Red III	111	0	0	0	-1	17	0
40304	Seeing Red IV	3	0	2	0	14000	100	0	0	40303	Seeing Red IV	111	0	0	0	-1	17	0
40305	Seeing Red V	3	0	2	0	14000	100	0	0	40315+40303	Seeing Red V	111	0	0	0	-1	17	0
40306	Seeing Red VI	3	0	2	0	14000	100	0	0	40316+40303	Seeing Red VI	111	0	0	0	-1	17	0
40401	Hungry Cleave I	0	0	0	0.5	0	100	0	0	50301	Hungry Cleave I	307	0	0	0	-1	5	0
40402	Hungry Cleave II	0	0	0	0.5	0	100	0	0	50301	Hungry Cleave II	307	0	0	0	-1	5	0
40403	Hungry Cleave III	0	0	0	0.5	0	100	0	0	50301	Hungry Cleave III	307	0	0	0	-1	5	0
40404	Hungry Cleave IV	0	0	0	0.5	0	100	0	0	50301	Hungry Cleave IV	307	0	0	0	-1	5	0
40405	Hungry Cleave V	0	0	0	0.5	0	100	0	0	50302	Hungry Cleave V	307	0	0	0	-1	5	0
40406	Hungry Cleave VI	0	0	0	0.5	0	100	0	0	50302	Hungry Cleave VI	307	0	0	0	-1	5	0
40501	Rain of Blows Stun	0	0	0	0	2500	100	0	0	60005	Rain of Blows Stun	300	0	0	0	-1	27	0
40502	Rain of Blows Burning	0	0	0	0	3000	100	0	0	50501	Rain of Blows Burning	306	1	3	0	0	33	0
40601	Shockwave Knockback	0	0	0	2	600	100	0	0	50001	Shockwave Knockback	304	0	0	0	-1	0	-1
40701	Meteor Rain I	0	0	0	3	2100	100	0	0	61201	Meteor Rain I	0	0	0	0	-1	11	0
40702	Meteor Rain II	0	0	0	3	2100	100	0	0	61202	Meteor Rain II	0	0	0	0	-1	11	0
40703	Meteor Rain III	0	0	0	3	2100	100	0	0	61202	Meteor Rain III	0	0	0	0	-1	11	0
40704	Meteor Rain IV	0	0	0	3	2100	100	0	0	61203	Meteor Rain IV	0	0	0	0	-1	11	0
40705	Meteor Rain V	0	0	0	3	3100	100	0	0	61203	Meteor Rain V	0	0	0	0	-1	11	0
40706	Meteor Rain VI	0	0	0	3	3100	100	0	0	61203	Meteor Rain VI	0	0	0	0	-1	11	0
40715	Meteor Rain V Slow	3	0	0	3	3100	100	0	0	61204	Meteor Rain Slow	303	0	0	0	-1	11	0
40716	Meteor Rain VI Slow	3	0	0	3	4100	100	0	0	61204	Meteor Rain Slow	303	0	0	0	-1	11	0
40801	Skin of Stone I	3	0	2	0.2	10000	100	0	0	15001	Skin of Stone I	402	0	0	0	-1	31	0
40802	Skin of Stone II	3	0	2	0.2	10000	100	0	0	15002	Skin of Stone II	402	0	0	0	-1	31	0
40803	Skin of Stone III	3	0	2	0.2	12000	100	0	0	16001+16002+16003+16004+15002	Skin of Stone III	402	0	0	0	-1	31	0
40804	Skin of Stone IV	3	0	2	0.2	14000	100	0	0	16001+16002+16003+16004+15002	Skin of Stone IV	402	0	0	0	-1	31	0
40805	Skin of Stone V	3	0	2	0.2	14000	100	0	0	16001+16002+16003+16004+15003	Skin of Stone V	402	0	0	0	-1	31	0
40806	Skin of Stone VI	3	0	2	0.2	14000	100	0	0	16001+16002+16003+16004+15003	Skin of Stone VI	402	0	0	0	-1	31	0
40815	Skin of Stone V Add Stun to enemy	0	1	0	0	14000	100	0	0	16005	Skin of Stone V Stun	0	0	0	0	-1	0	-1
40825	Skin of Stone V Stun	3	0	0	0	1500	5	0	0	60005	Skin of Stone VI Stun	300	0	0	0	-1	27	0
40816	Skin of Stone VI Add Stun to enemy	0	1	0	0	14000	100	0	0	16006	Skin of Stone V Stun	0	0	0	0	-1	0	-1
40826	Skin of Stone VI Stun	3	0	0	0	1500	10	0	0	60005	Skin of Stone VI Stun	300	0	0	0	-1	27	0
40901	Haunting Scream I	0	0	0	0	4000	100	0	0	61004	Haunting Scream I	308	0	0	0	-1	34	0
40902	Haunting Scream II	0	0	0	0	4000	100	0	0	61004	Haunting Scream II	308	0	0	0	-1	34	0
40903	Haunting Scream III	0	0	0	0	5000	100	0	0	61004	Haunting Scream III	308	0	0	0	-1	34	0
40904	Haunting Scream IV	0	0	0	0	5500	100	0	0	61004	Haunting Scream IV	308	0	0	0	-1	34	0
40905	Haunting Scream V	0	0	0	0	5500	100	0	0	61004	Haunting Scream V	308	0	0	0	-1	34	0
40906	Haunting Scream VI	0	0	0	0	5500	100	0	0	61004	Haunting Scream VI	308	0	0	0	-1	34	0
41001	Iron Thorns I	3	1	0	0	10000	100	0	0	61101	Iron Thorns I	400	0	0	0	-1	35	0
41002	Iron Thorns II	3	1	0	0	10000	100	0	0	61102	Iron Thorns II	400	0	0	0	-1	35	0
41003	Iron Thorns III	3	1	0	0	12000	100	0	0	61103	Iron Thorns III	400	0	0	0	-1	35	0
41004	Iron Thorns IV	3	1	0	0	14000	100	0	0	61103	Iron Thorns IV	400	0	0	0	-1	35	0
41005	Iron Thorns V	3	1	0	0	14000	100	0	0	61115+61103	Iron Thorns V	400	0	0	0	-1	35	0
41006	Iron Thorns VI	3	1	0	0	14000	100	0	0	61116+61103	Iron Thorns VI	400	0	0	0	-1	35	0
41015	Iron Thorns V Poison	0	0	0	0.05	3000	20	0	0	61110	Iron Thorns V Poison	305	1	3	0	-1	32	0
41016	Iron Thorns VI Poison	0	0	0	0.05	3000	30	0	0	61110	Iron Thorns VI Poison	305	1	3	0	-1	32	0
41101	Ring of Frost I	3	0	0	0.25	4000	100	0	0	51101	Ring of Frost I	302	0	0	0	-1	7	0
41102	Ring of Frost II	3	0	0	0.25	4000	100	0	0	51101	Ring of Frost II	302	0	0	0	-1	7	0
41103	Ring of Frost III	3	0	0	0.25	5000	100	0	0	51101	Ring of Frost III	302	0	0	0	-1	7	0
41104	Ring of Frost IV	3	0	0	0.25	5000	100	0	0	51101	Ring of Frost IV	302	0	0	0	-1	7	0
41105	Ring of Frost V	3	0	0	0.25	5000	100	0	0	51101	Ring of Frost V	302	0	0	0	-1	7	0
41106	Ring of Frost VI	3	0	0	0.25	5000	100	0	0	51101	Ring of Frost VI	302	0	0	0	-1	7	0
41115	Ring of Frost V Chilled	3	0	2	0	7000	100	0	0	51102	Ring of Frost V Chilled	201	0	0	0	-1	14	0
41116	Ring of Frost VI Chilled	3	0	2	0	10000	100	0	0	51102	Ring of Frost VI Chilled	201	0	0	0	-1	14	0
41201	Chi Prayer I	3	0	2	0.2	15000	100	0	0	51201	Chi Prayer I	109	0	0	0	-1	23	0
