INT	FLOAT	INT	INT	INT	INT
Level 	DamageModifier	ChanceNoAttribute 	 Enchant 	 Colour 	Element 
Level 	Damage Modifier (%)	Chance No Attribute Occurs %	Chance Enchant Occurs %	Chance Colour Occurs %	Chance Element Occurs %
1	0.05	30	42	33	19
2	0.06	30	42	33	19
3	0.07	74	43	34	19
4	0.08	74	43	34	20
5	0.09	73	44	35	20
6	0.1	73	44	35	20
7	0.11	72	45	36	21
8	0.12	72	45	36	21
9	0.13	71	46	37	21
10	0.14	71	46	37	22
11	0.15	70	47	37	22
12	0.16	70	47	37	22
13	0.17	69	48	37	23
14	0.18	69	48	37	23
15	0.19	68	49	37	23
16	0.2	68	49	37	24
17	0.21	67	50	37	24
18	0.22	67	50	37	24
19	0.23	66	50	37	25
20	0.24	66	50	37	25
21	0.25	65	50	37	25
22	0.26	65	50	37	25
23	0.27	64	50	37	25
24	0.28	64	50	37	25
25	0.29	63	50	37	25
26	0.3	63	50	37	25
27	0.31	62	50	37	25
28	0.32	62	50	37	25
29	0.33	61	50	37	25
30	0.34	61	50	37	25
31	0.35	60	42	33	19
32	0.36	60	42	33	19
33	0.37	59	43	34	19
34	0.38	59	43	34	20
35	0.39	58	44	35	20
36	0.4	58	44	35	20
37	0.41	57	45	36	21
38	0.42	57	45	36	21
39	0.43	56	46	37	21
40	0.44	56	46	37	22
41	0.45	55	47	37	22
42	0.46	55	47	37	22
43	0.47	54	48	37	23
44	0.48	54	48	37	23
45	0.49	53	49	37	23
46	0.5	53	49	37	24
47	0.51	52	50	37	24
48	0.52	52	50	37	24
49	0.53	51	50	37	25
50	0.54	51	50	37	25
51	0.55	50	50	37	25
52	0.56	50	50	37	25
53	0.57	49	50	37	25
54	0.58	49	50	37	25
55	0.59	48	50	37	25
56	0.6	48	50	37	25
57	0.61	47	50	37	25
58	0.62	47	50	37	25
59	0.63	46	50	37	25
60	0.64	46	50	37	25
