INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	STRING
prefabID	prefab	Min	Max	Name String	Head Name String	Chest Name String	Legs Name String	Type	Type String
Weapon Prefab	Cloak Prefab	Min Item Level for Prefab	Max Item Level for Prefab	Name String	Head Name String	Chest Name String	Legs Name String	Type	Type String
101	MNK01	1	8	Monk 	Hat	Robe	Wrap	8	Light 
102	MNK02	4	18	Priest 	Hat	Robe	Wrap	8	Light 
103	MNK03	13	30	Holy 	Hat	Robe	Wrap	8	Light 
201	NIN01	1	8	Ninja 	Mask	Vest	Pants	8	Light 
202	NIN02	4	18	Spy 	Mask	Vest	Pants	8	Light 
203	NIN03	13	30	Shadow 	Mask	Vest	Pants	8	Light 
301	SLD01	1	8	Soldier 	Helm	Mail	Greaves	16	Medium 
302	SLD02	4	18	Bandit 	Helm	Mail	Greaves	16	Medium 
303	SLD03	13	30	Ronin 	Helm	Mail	Greaves	16	Medium 
401	SAM01	1	8	Samurai 	Helm	Plate	Greaves	32	Heavy 
402	SAM02	4	18	Hatamoto 	Helm	Plate	Greaves	32	Heavy 
403	SAM03	13	30	Bushido 	Helm	Plate	Greaves	32	Heavy 
501	TRP01	4	18	Skinner 	Hat	Vest	Pants	8	Light 
502	TRP02	13	42	Trapper 	Hat	Vest	Pants	8	Light 
503	TRP03	22	60	Wild 	Hat	Vest	Pants	8	Light 
601	HES01	4	18	Conscript 	Hat	Coat	Pants	16	Medium 
602	HES02	13	42	Infantry 	Hat	Coat	Pants	16	Medium 
603	HES03	22	60	Hessian 	Hat	Coat	Pants	16	Medium 
701	KAB01	4	18	Hirandai 	Mask	Kataginu	Hakama	16	Medium 
702	KAB02	13	42	Chunadai 	Mask	Kataginu	Hakama	16	Medium 
703	KAB03	22	60	Onadai 	Mask	Kataginu	Hakama	16	Medium 
801	ORD01	13	42	Scout 	Band	Mail	Pants	16	Medium 
802	ORD02	22	60	Hunter 	Band	Mail	Pants	16	Medium 
803	ORD03	31	60	Order 	Band	Mail	Pants	16	Medium 
901	CHA01	13	42	Yokai 	Helm	Plate	Greaves	32	Heavy 
902	CHA02	22	60	Yasha 	Helm	Plate	Greaves	32	Heavy 
903	CHA03	31	60	Onibaba 	Helm	Plate	Greaves	32	Heavy 
1001	CHERRY	0	0	Hanasaki	Hat	Robe	Pants	32	Medium 
1002	GWOLF	0	0	Granny 	Cap	Nighty	Pants	32	Heavy 
1003	HULA	0	0	Hula 	Headpiece	Lei	Grass Skirt	32	Light 
1004	SAILOR	0	0	Fuku 	Head	Shirt	Uniform	32	Light 
1005	STRAW	0	0	Straw 	Head	Body	Legs	32	Medium 
1006	TEAPOT	0	0	Tea 	Pot	Robe	Pants	32	Heavy 
1007	FISHING	0	0	Urashima 	Wrap	Robe	Hakama	32	Heavy 
1008	RACOON	0	0	Tanuki 	Head	Body	Legs	32	Heavy 
1009	ROSE	0	0	Rose 	Head	Body	Legs	32	Heavy 
1010	PUMPKIN	0	0	Pumpkin 	Head	Body	Legs	32	Heavy 
1011	SKEL	0	0	Skeleton 	Head	Body	Legs	32	Heavy 
1100	ACEE	0	0	A-Cee 	Ears 	T-shirt	Pants	32	Heavy 
1101	ARE	0	0	Arekusu 	Mask	Mail	Greaves	32	Heavy 
1102	DIEHARD	0	0	Die Hard 	Kerchief	Bones	Pants	32	Heavy 
1103	NINETAILS	0	0	Kitsune 	Mask	Kataginu	9 Tails	32	Heavy 
1104	SAMURAI	0	0	Jack's 	Kasa	Robe	Wrap	32	Heavy 
1105	SEVEN	0	0	Leo 	Mask	Kataginu	Hakama	32	Heavy 
