INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	STRING
ID	EquipClass	MasteryLevel	MasteryType	karmaCost	BaseStatLvNeeded	BuffID	Name	Description	Description	Discipline	TrainTime	ShortName
ID	EquipClass	MasteryLevel	MasteryType	karmaCost	BaseStatLvNeeded	BuffID	Name	Description	Description	Discipline	TrainTime	ShortName
1001	1	1	0	1000	48	101001	Dueling I	Focus on precision, skill and lethality.[ff0000]Condition:[-] One 1-Handed Weapon Equipped Only	Adds 3% to Critical Damage when using a single one-handed weapon.	4	5	Dueling
1002	1	2	0	2500	120	101002	Dueling II	Focus on precision, skill and lethality.[ff0000]Condition:[-] One 1-Handed Weapon Equipped Only	Adds 6% to Critical Damage when using a single one-handed weapon.	4	10	Dueling
1003	1	3	0	5000	192	101003	Dueling III	Focus on precision, skill and lethality.[ff0000]Condition:[-] One 1-Handed Weapon Equipped Only	Adds 9% to Critical Damage when using a single one-handed weapon.	4	15	Dueling
1004	1	4	0	10000	264	101004	Dueling IV	Focus on precision, skill and lethality.[ff0000]Condition:[-] One 1-Handed Weapon Equipped Only	Adds 12% to Critical Damage when using a single one-handed weapon.	4	20	Dueling
1005	1	5	0	20000	336	101005	Dueling V	Focus on precision, skill and lethality.[ff0000]Condition:[-] One 1-Handed Weapon Equipped Only	Adds 15% to Critical Damage when using a single one-handed weapon.	4	40	Dueling
1006	1	6	0	23750	408	101006	Dueling VI	Focus on precision, skill and lethality.[ff0000]Condition:[-] One 1-Handed Weapon Equipped Only	Adds 18% to Critical Damage when using a single one-handed weapon.	4	60	Dueling
1007	1	7	0	29500	480	101007	Dueling VII	Focus on precision, skill and lethality.[ff0000]Condition:[-] One 1-Handed Weapon Equipped Only	Adds 21% to Critical Damage when using a single one-handed weapon.	4	90	Dueling
1008	1	8	0	35250	552	101008	Dueling VIII	Focus on precision, skill and lethality.[ff0000]Condition:[-] One 1-Handed Weapon Equipped Only	Adds 24% to Critical Damage when using a single one-handed weapon.	4	120	Dueling
1009	1	9	0	41000	624	101009	Dueling IX	Focus on precision, skill and lethality.[ff0000]Condition:[-] One 1-Handed Weapon Equipped Only	Adds 27% to Critical Damage when using a single one-handed weapon.	4	160	Dueling
1010	1	10	0	46750	696	101010	Dueling X	Focus on precision, skill and lethality.[ff0000]Condition:[-] One 1-Handed Weapon Equipped Only	Adds 30% to Critical Damage when using a single one-handed weapon.	4	240	Dueling
2001	2	1	0	1000	48	102001	Dual Wielding I	Savage assaults executed with lightning speed. [ff0000]Condition:[-] Two 1-Handed Weapons Equipped	Adds 1% to Attack Speed when dual wielding weapons.	1	5	Dual Wielding
2002	2	2	0	2500	120	102002	Dual Wielding II	Savage assaults executed with lightning speed. [ff0000]Condition:[-] Two 1-Handed Weapons Equipped	Adds 2% to Attack Speed when dual wielding weapons.	1	10	Dual Wielding
2003	2	3	0	5000	192	102003	Dual Wielding III	Savage assaults executed with lightning speed. [ff0000]Condition:[-] Two 1-Handed Weapons Equipped	Adds 3% to Attack Speed when dual wielding weapons.	1	15	Dual Wielding
2004	2	4	0	10000	264	102004	Dual Wielding IV	Savage assaults executed with lightning speed. [ff0000]Condition:[-] Two 1-Handed Weapons Equipped	Adds 4% to Attack Speed when dual wielding weapons.	1	20	Dual Wielding
2005	2	5	0	20000	336	102005	Dual Wielding V	Savage assaults executed with lightning speed. [ff0000]Condition:[-] Two 1-Handed Weapons Equipped	Adds 5% to Attack Speed when dual wielding weapons.	1	40	Dual Wielding
2006	2	6	0	23750	408	102006	Dual Wielding VI	Savage assaults executed with lightning speed. [ff0000]Condition:[-] Two 1-Handed Weapons Equipped	Adds 6% to Attack Speed when dual wielding weapons.	1	60	Dual Wielding
2007	2	7	0	29500	480	102007	Dual Wielding VII	Savage assaults executed with lightning speed. [ff0000]Condition:[-] Two 1-Handed Weapons Equipped	Adds 7% to Attack Speed when dual wielding weapons.	1	90	Dual Wielding
2008	2	8	0	35250	552	102008	Dual Wielding VIII	Savage assaults executed with lightning speed. [ff0000]Condition:[-] Two 1-Handed Weapons Equipped	Adds 8% to Attack Speed when dual wielding weapons.	1	120	Dual Wielding
2009	2	9	0	41000	624	102009	Dual Wielding IX	Savage assaults executed with lightning speed. [ff0000]Condition:[-] Two 1-Handed Weapons Equipped	Adds 9% to Attack Speed when dual wielding weapons.	1	160	Dual Wielding
2010	2	10	0	46750	696	102010	Dual Wielding X	Savage assaults executed with lightning speed. [ff0000]Condition:[-] Two 1-Handed Weapons Equipped	Adds 10% to Attack Speed when dual wielding weapons.	1	240	Dual Wielding
3001	4	1	0	1000	48	103001	Two-Handed I	Sweeping, powerful blows disorient enemies. [ff0000]Condition:[-] One 2-Handed Weapon Equipped	Adds 3% chance of Stunning when using a two-handed weapon.	2	5	Two-Handed
3002	4	2	0	2500	120	103002	Two-Handed II	Sweeping, powerful blows disorient enemies. [ff0000]Condition:[-] One 2-Handed Weapon Equipped	Adds 6% chance of Stunning when using a two-handed weapon.	2	10	Two-Handed
3003	4	3	0	5000	192	103003	Two-Handed III	Sweeping, powerful blows disorient enemies. [ff0000]Condition:[-] One 2-Handed Weapon Equipped	Adds 9% chance of Stunning when using a two-handed weapon.	2	15	Two-Handed
3004	4	4	0	10000	264	103004	Two-Handed IV	Sweeping, powerful blows disorient enemies. [ff0000]Condition:[-] One 2-Handed Weapon Equipped	Adds 12% chance of Stunning when using a two-handed weapon.	2	20	Two-Handed
3005	4	5	0	20000	336	103005	Two-Handed V	Sweeping, powerful blows disorient enemies. [ff0000]Condition:[-] One 2-Handed Weapon Equipped	Adds 15% chance of Stunning when using a two-handed weapon.	2	40	Two-Handed
3006	4	6	0	23750	408	103006	Two-Handed VI	Sweeping, powerful blows disorient enemies. [ff0000]Condition:[-] One 2-Handed Weapon Equipped	Adds 18% chance of Stunning when using a two-handed weapon.	2	60	Two-Handed
3007	4	7	0	29500	480	103007	Two-Handed VII	Sweeping, powerful blows disorient enemies. [ff0000]Condition:[-] One 2-Handed Weapon Equipped	Adds 21% chance of Stunning when using a two-handed weapon.	2	90	Two-Handed
3008	4	8	0	35250	552	103008	Two-Handed VIII	Sweeping, powerful blows disorient enemies. [ff0000]Condition:[-] One 2-Handed Weapon Equipped	Adds 24% chance of Stunning when using a two-handed weapon.	2	120	Two-Handed
3009	4	9	0	41000	624	103009	Two-Handed IX	Sweeping, powerful blows disorient enemies. [ff0000]Condition:[-] One 2-Handed Weapon Equipped	Adds 27% chance of Stunning when using a two-handed weapon.	2	160	Two-Handed
3010	4	10	0	46750	696	103010	Two-Handed X	Sweeping, powerful blows disorient enemies. [ff0000]Condition:[-] One 2-Handed Weapon Equipped	Adds 30% chance of Stunning when using a two-handed weapon.	2	240	Two-Handed
4001	8	1	1	1000	48	104001	Light Armor I	Puts a swift spring in your step. [ff0000]Condition:[-] Light Armor Equipped	Adds 1% to Movement speed for each piece of Light Armor equipped.	4	5	Light Armor
4002	8	2	1	2500	120	104002	Light Armor II	Puts a swift spring in your step. [ff0000]Condition:[-] Light Armor Equipped	Adds 2% to Movement speed for each piece of Light Armor equipped.	4	10	Light Armor
