INT	INT	INT	INT	INT	INT
Level	Exp	Badges	AbilitySlots	MaxHP	Max MP
Level	XP Total Required	Not Used	Not Used	Max HP	Max MP
1	0	99	1	500	800
2	166	99	1	520	819
3	842	99	1	550	838
4	2596	99	1	590	857
5	4889	99	2	640	875
6	7501	99	2	700	893
7	11631	99	2	770	911
8	17243	99	2	850	929
9	23662	99	2	940	947
10	32902	99	2	1040	964
11	44291	99	2	1150	981
12	57170	99	2	1270	998
13	72219	99	2	1400	1015
14	91611	99	3	1540	1031
15	113000	99	3	1690	1047
16	139531	99	3	1850	1062
17	168458	99	3	2020	1077
18	208288	99	3	2200	1092
19	251472	99	3	2390	1106
20	298011	99	3	2590	1120
21	357128	99	3	2800	1133
22	428145	99	3	3020	1145
23	504755	99	3	3250	1157
24	586954	99	3	3490	1168
25	678380	99	3	3740	1179
26	792197	99	4	4000	1189
27	914161	99	4	4270	1198
28	1049145	99	4	4550	1207
29	1192755	99	4	4840	1215
30	1355694	99	4	5140	1222
31	1553211	99	4	5450	1228
32	1763308	99	4	5770	1234
33	1985984	99	4	6100	1239
34	2237414	99	4	6440	1243
35	2502822	99	4	6790	1246
36	2782208	99	4	7150	1248
37	3093842	99	4	7520	1249
38	3420851	99	4	7900	1250
39	3763236	99	4	8290	1250
40	4120996	99	4	8690	1250
41	4515197	99	4	9100	1250
42	4926172	99	4	9520	1250
43	5353920	99	4	9950	1250
44	5798441	99	4	10390	1250
45	6283597	99	4	10840	1250
46	6786924	99	4	11300	1250
47	7308421	99	4	11770	1250
48	7874048	99	4	12250	1250
49	8459244	99	4	12740	1250
50	9064008	99	4	13240	1250
51	9688340	99	4	13750	1250
52	10332242	99	4	14270	1250
53	11025165	99	4	14800	1250
54	11739054	99	4	15340	1250
55	12473910	99	4	15890	1250
56	13229732	99	4	16450	1250
57	14038769	99	4	17020	1250
58	14870170	99	4	17600	1250
59	15723935	99	4	18190	1250
60	16600064	99	4	18790	1250
