INT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	STRING	STRING
IDX	LTX	LTZ	RBX	RBZ	WIDTH	HEIGHT	NAME	Description
IDX	LTX	LTZ	RBX	RBZ	WIDTH	HEIGHT	NAME	Description
0	21.184	249.391	381.278	-110.609	360	360	Aka_TestBox	abc
1	0.04496384	149.9285	180.6409	-31.17529	180.5959	181.1038	Village	abc
2	-76.85099	351.1937	284.7129	-11.23453	361.5639	362.4283	A1M1	abc
3	-90.86127	285.9055	270.7026	-76.52272	361.5639	362.4282	A1M2	abc
4	-68.95513	491.3763	473.5767	-52.37656	542.5318	543.7528	A1M3	abc
5	-13.31155	372.4833	348.2523	10.05508	361.5639	362.4283	A2M1	abc
6	42.29544	343.416	403.8593	-19.01221	361.5639	362.4283	A2M2	abc
7	-9.520161	328.8824	352.0437	-33.54584	361.5639	362.4283	A2M3	abc
8	88.77686	562.7324	450.3407	200.3041	361.5639	362.4283	A3M1	abc
9	77.97229	285.6572	620.5041	-258.0956	542.5318	543.7528	A3M2	abc
10	331.014	812.4994	692.5779	450.071	361.5639	362.4283	A3M3	abc
11	-11.10614	374.4798	350.4577	12.05151	361.5639	362.4283	A4M1	abc
12	-44.66927	328.981	316.8946	-33.44724	361.5639	362.4283	A4M2	abc
13	-137.0399	140.216	405.4919	-403.5367	542.5318	543.7528	A4M3	abc
14	-85.56326	378.1312	276.0006	15.70291	361.5639	362.4283	A5M1	abc
15	-19.63053	260.871	160.9654	79.76721	180.5959	181.1038	A5M2	abc
16	-7.9365	302.8091	353.6274	-59.61917	361.5639	362.4283	A5M3	abc
17	52.53834	198.733	233.1343	17.62292	180.5959	181.1038	A6M1	abc
18	-88.02908	298.6888	273.5348	-63.73947	361.5639	362.4283	A6M2	abc
19	-6.545658	235.2944	355.0182	-127.1338	361.5639	362.4283	A6M3	abc
20	-20.48165	203.1908	341.0822	-159.2374	361.5639	362.4283	A7M1	abc
21	-20.30032	204.1718	341.2635	-158.2564	361.5639	362.4283	A7M2	abc
22	-74.8357	27.292729	286.7203	-334.501	361.5639	362.4283	A7M3	abc
23	14.07317	326.1889	375.637	-36.23938	361.5638	362.4283	A1M4	abc
24	-5.534248	285.0497	356.0296	-77.37868	361.5638	362.4283	A2M4	abc
25	48.40649	200.5908	409.9704	-161.8375	361.5639	362.4283	A3M4	abc
26	-2.018574	309.152	359.5453	-53.27628	361.5639	362.4283	A4M4	abc
