INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING
ID	AreaName	AreaDescription	RecommendedPlayerLevel	LockAreaDescription1	LockAreaDescription2	LockAreaDescription3	MissionName	MissionObjective	MissionSuccess	LevelCap	MissionCooldown	EnemyInfo	EnemyIcon	MaterialInfo	MaterialIcon1	MaterialIcon2	MaterialIcon3	BossInfo	BossIcon	LowRecLv	MedRecLv	HiRecLv	OvrRecLv	MissionIcon	Description
ID	AreaName	AreaDescription	RecommendedPlayerLevel	LockAreaDescription1	LockAreaDescription2	LockAreaDescription3	MissionName	MissionObjective	MissionSuccess	LevelCap	MissionCooldown	EnemyInfo	EnemyIcon	MaterialInfo	MaterialIcon1	MaterialIcon2	MaterialIcon3	BossInfo	BossIcon	LowRecLv	MedRecLv	HiRecLv	OvrRecLv	MissionIcon	Description
6000	Yomi Village	Originally an Ainu Tribal camp, Japanese settlement and European fuelled trade and further development.	0				Welcome, Red Hunter	Red Hunter! Thank the three you've arrived - the village is overrun with wolves, tainted by some demonic anger. Together we can push them back. The Elder Shaman will support us. Attack now!	The village is secure, for now. You must be tired after this battle coupled with your journey here. Rest in Akane Lodge - it is your new home. Greet me when you rise, and I will provide further orders. 		This mission is curently on cooldown		0		0	0	0		9999	1	1	1	1	0	0
5111	Shigemori River	Flowing down from the central mountain ranges of Yomi Island, this river borders a deep pine forest and runs alongside the Temple Highroad.	1		[ffffff]3 Missions - Max character level 4.		Wicked Beasts	Local wolf packs have become extremely hostile, afflicted by some maddening influence. Investigate the neighboring Shigemori Village. It has been days since last contact - we fear the worst.	We must take revenge on these malevolent Yokai!	0	This mission is curently on cooldown	No elemental enemies are known to patrol this Area	0	Minimal materials are known to originate from this Area	0	0	0		9999	1	2	3	4	L1_1	0
5121	Shigemori River	Flowing down from the central mountain ranges of Yomi Island, this river borders a deep pine forest and runs alongside the Temple Highroad.	2		[ffffff]3 Missions - Max character level 4.		Rotten Core	Demon Wolves gather in great numbers at the Bleeding Grove Orchard. Collect evidence of Yokai influence from demon wolf corpses. Check the nearby Alpha Den for further clues.	It saddens me to hear how these creatures have been used so...	0	This mission is curently on cooldown	No elemental enemies are known to patrol this Area	0	Minimal materials are known to originate from this Area	0	0	0		9999	2	3	4	5	L1_2	0
5141	Shigemori River	Flowing down from the central mountain ranges of Yomi Island, this river borders a deep pine forest and runs alongside the Temple Highroad.	3		[ffffff]3 Missions - Max character level 4.		Blind Rage	Find a path through the forest to the Yokai hideout. But beware, sources nearby indicate the Alpha Female Wolf is in the area, blind with rage at the death of her partner. 	It's unfortunate the Alpha Female Wolf was driven mad by the Yokai's influence. 	0	This mission is curently on cooldown	No elemental enemies are known to patrol this Area	0	Minimal materials are known to originate from this Area	0	0	0		9999	3	4	5	6	L1_4	0
5131	Shigemori River	Flowing down from the central mountain ranges of Yomi Island, this river borders a deep pine forest and runs alongside the Temple Highroad.	4		[ffffff]3 Missions - Max character level 4.		Raging Ushi Oni	A powerful Ushi Oni has rallied the Amano Imps to his banner to sow chaos on Yomi Island. At night fall, infiltrate their territory. Kill the Imp Captains – then take the head of their leader.	A Demon King has fallen! You have proven yourself a true Hunter of Akane. I commend you.	0	This mission is curently on cooldown	No elemental enemies are known to patrol this Area	0	Minimal materials are known to originate from this Area	0	0	0	Area Boss: Ushi Oni is reported to drop high quality materials	1	4	5	6	7	L1_3	0
5211	Jawbone Ravine	Craggy ravines cut through forested areas and expose natural cave mouths that lead to deeper underground networks.	5	[414141]Unlock Jawbone Ravine To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 8.	[414141]Complete Shigemori River to reach this area.	The Outcast	The spirits of fallen wolves roam Jawbone Ravine, attacking all who approach. Meet with our informant, Brother Daisuke. Travel with him to Moroko's Maw.	To desecrate the souls of such noble creatures is a most foul act...	4	This mission is curently on cooldown	Blast enchanted enemies are known to patrol this Area	Element_Explo	Pelt, Metal and Timber are known to originate from this Area	M_Pelt	M_Metal	M_Timber		9999	5	6	7	8	L2_1	0
5221	Jawbone Ravine	Craggy ravines cut through forested areas and expose natural cave mouths that lead to deeper underground networks.	6	[414141]Unlock Jawbone Ravine To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 8.	[414141]Complete Shigemori River to reach this area.	Stirring Spirits	The Ghostclaw Cult is responsible for raising wolves from death. Explore the cave system - Daisuke can open the way. Search for information on Ghostclaw activity there.	The truth behind the Ghostclaw Cult is disturbing indeed. We must put them to the sword.	4	This mission is curently on cooldown	Blast enchanted enemies are known to patrol this Area	Element_Explo	Pelt, Metal and Timber are known to originate from this Area	M_Pelt	M_Metal	M_Timber		9999	6	7	8	9	L2_2	0
5241	Jawbone Ravine	Craggy ravines cut through forested areas and expose natural cave mouths that lead to deeper underground networks.	7	[414141]Unlock Jawbone Ravine To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 8.	[414141]Complete Shigemori River to reach this area.	Stolen Remains	The Ghostclaw Cult are capturing wolves to perform horrific experiments on. Your objective is to disable their traps and take down the leader. 	Their operations may be disabled, but they have taken off with the corpse of Lord Wolf Moroko. What do they want with it?	4	This mission is curently on cooldown	Blast enchanted enemies are known to patrol this Area	Element_Explo	Pelt, Metal and Timber are known to originate from this Area	M_Pelt	M_Metal	M_Timber		9999	7	8	9	10	L2_4	0
5231	Jawbone Ravine	Craggy ravines cut through forested areas and expose natural cave mouths that lead to deeper underground networks.	8	[414141]Unlock Jawbone Ravine To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 8.	[414141]Complete Shigemori River to reach this area.	Shade of Moroko	The spirit of the Wolf Lord Moroko has been cruelly twisted by Ghostclaw Cult magic. Eliminate the Ghostclaw High Cultist and Destroy Moroko’s Spirit. Daisuke will release Moroko’s soul.	The great patron of all hunters, Moroko, now rests again. You have excelled in your duty.	4	This mission is curently on cooldown	Blast enchanted enemies are known to patrol this Area	Element_Explo	Pelt, Metal and Timber are known to originate from this Area	M_Pelt	M_Metal	M_Timber	Area Boss: Moroko is reported to drop high quality materials	2	8	9	10	11	L2_3	0
5311	Bloodroot Cemetery	Gnarled roots choke and grasp at clusters of forgotten gravestones and weathered monuments.	9	[414141]Unlock Bloodroot Cemetery To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 12.	[414141]Complete Jawbone Ravine to reach this area.	Hedge Trimming	The forest has awoken. Bloodthirsty trees - Jinmenju - attack and consume all who travel on the temple road. Thin their numbers and destroy the Witching Tree.	The spread of the forest has slowed now that the Witching Tree has fallen. You must press onward.	8	This mission is curently on cooldown	Storm enchanted enemies are known to patrol this Area	Element_Elec	Cloth, Teeth and Vine are known to originate from this Area	M_Cloth	M_Teeth	M_Vine		9999	9	10	11	12	L3_1	0
5321	Bloodroot Cemetery	Gnarled roots choke and grasp at clusters of forgotten gravestones and weathered monuments.	10	[414141]Unlock Bloodroot Cemetery To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 12.	[414141]Complete Jawbone Ravine to reach this area.	Graverobbers	Yokai thieves are defiling the resting place of revered elders. As you pass through the catacombs, do what you can to prevent further damage.	The Burial Chambers are secure. Preventing such defilement is a worthy act.	8	This mission is curently on cooldown	Storm enchanted enemies are known to patrol this Area	Element_Elec	Cloth, Teeth and Vine are known to originate from this Area	M_Cloth	M_Teeth	M_Vine		9999	10	11	12	13	L3_2	0
