INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
ID	TypeID	PrefabID	Name (Not Used)	Gem	Element	Enchant	LimitCount	Level	KarmaPrice	CrystalPrice	Visible
ID	TypeID	PrefabID	Name	Gem	Element	Enchant	LimitCount	Level	KarmaPrice	CrystalPrice	Visible
1080	1003	3	Thirsty Emerald Club	703	0	201	100	3	0	20	1
1081	1005	3	Brutal Flame Nodachi	0	203	301	100	8	0	55	1
1082	1007	5	Raging Ruby Great Maul 	504	0	103	50	15	0	115	1
1083	1008	7	Thirsty Frost Sickle	0	104	204	30	22	0	175	1
1084	1006	8	Raging Flame Jade Great Axe	1305	203	103	20	28	0	325	1
1085	2002	302	Saphire Healthy Bandit Chest	602	0	102	100	2	0	15	1
1086	2001	103	Holy Jade Hat	1304	0	0	100	5	0	50	1
1087	2003	403	Focused Insulated Bushido Pants	0	402	203	50	17	0	125	1
1088	2001	702	Fur-lined Amethyst Chunadai Hat	904	103	0	30	23	0	210	1
1089	2003	901	Fortified Plated Obsidian Yokai Pants	1105	303	303	20	28	0	315	1
1090	2010	20	Hyper Malachite Short Hood	1002	0	202	100	5	0	25	1
1091	3001	3	Precision Emerald Storm Ring	701	401	301	100	10	0	85	1
1092	2010	13	Focused Blast Long Cloak	0	303	202	50	15	0	125	1
1093	3001	5	Nimble Flame Jade Ring	1303	202	102	30	23	0	195	1
1094	3002	8	Hyper Obsidian Storm Necklace	1104	403	203	20	28	0	275	1
9500	3002	6	Steam Necklace	101	0	0	100	1	0	0	0
9501	1001	9	Raging Steam Blast Katana	101	303	103	100	5	0	0	0
9502	4005	1	$4.99 Bundle - Kuma Fist	1303	203	103	100	5	0	0	0
9503	4006	1	$14.99 Bundle - Boxing Fist	1305	305	305	100	10	0	0	0
9504	4004	1	$24.99 Bundle - Crab Claw	1105	105	205	100	15	0	0	0
9505	4003	1	Bundle - Gasha Claw	1109	109	109	100	20	0	0	0
9506	2001	1005	$24.99 Bundle - Straw Head	1105	105	105	100	15	0	0	0
9507	2002	1005	$24.99 Bundle - Straw Chest	1105	105	105	100	15	0	0	0
