INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT
ID	Name	ProgramType	TargetType	ElementType	MPNeed	PrepareTime	TimeToMaxPower	IncrementDmg	AnimDuration	Cooldown	AttackCount	AttackTime	AttackCoefficient	DmgType	BaseVal	AbilityBonus	AttrType	AttackPosType	AreaType	AreaWidth	AreaLength	ReqBaseStatAmount	Discipline	Karma	ObjectID	SelfStatusID	DestStatusID	INT	AbilityDesc1	Value1Prefix	Value1Suffix	Value2Prefix	Value2Suffix	AddEffectTitle1	AddEffectDesc1	AddEffectTitle2	AddEffectDesc2	NewAddition	ShortName	IconID
ID	Name	type	TargetType	ElementType	mp need	PrepareTime	Time to Max Power	Increment Dmg	AnimDuration	Cooldown	AttackCount	AttackTime	AttackCoefficient	DmgType	BaseVal	AbilityBonus	Related BASE STAT	AttackPosType	Area of Effect	Area Width	AreaLength	ReqBaseStatAmount	Discipline	Karma	ObjectID	SelfStatusID	DestStatusID	INT	General description of ability	Ability effect description and related value	Value1Suffix	Ability effect description and related value	Value2Suffix	New training level effect added	AddEffectDesc1	New training level effect added	AddEffectDesc2	NewAddition	ShortName	IconID
10001	обычная атака	0	0	-1	0	0	0	0	200	200	1	0	1	1	1	1	4	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0						обычная атака	0
10002	двуручная атака	0	0	-1	0	0	0	0	200	200	1	0	1	1	1	1	4	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0						двуручная атака	0
10003	удар кулаком	0	0	-1	0	0	0	0	200	200	1	0	1	1	1	1	4	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0						удар кулаком	0
10201	Полоса разрушения I	0	0	-1	300	0	0	0	500	500	1	0	1	1	20	0.002	4	2	4	3	10	90	1	1100	0	0	0	0	Стремительный бросок наносит урон и разбрасывает врагов.	Наносит урон и отбрасывает врагов.	0	0	0						Полоса разрушения	1
10202	Полоса разрушения II	0	0	-1	300	0	0	0	500	500	1	0	1	1	25	0.002	4	2	4	3	10	270	1	2000	0	0	0	0	Стремительный бросок наносит урон и разбрасывает врагов.	Наносит урон и отбрасывает врагов.	0	0	0					Увеличен урон.	Полоса разрушения	1
10203	Полоса разрушения III	0	0	0	300	0	0	0	500	500	1	0	1	1	30	0.0025	4	2	4	3	10	450	1	3500	0	0	40201	0	Стремительный бросок наносит урон и разбрасывает врагов.	Наносит урон и отбрасывает врагов.	0	0	0	Живой огненный шар	Враги воспламеняются на 3 с.			Эффект "живой огненный шар".	Полоса разрушения	1
10204	Полоса разрушения IV	0	0	0	300	0	0	0	500	500	1	0	1	1	35	0.0025	4	2	4	3	10	630	1	10000	0	0	40201	0	Стремительный бросок наносит урон и разбрасывает врагов.	Наносит урон и отбрасывает врагов.	0	0	0	Живой огненный шар	Враги воспламеняются на 3 с.			Увеличен урон.	Полоса разрушения	1
10205	Полоса разрушения V	0	0	0	300	0	0	0	500	500	1	0	1	1	40	0.003	4	2	4	3	10	810	1	21000	0	0	40202+40201	0	Стремительный бросок наносит урон и разбрасывает врагов. Оставляет огненный след на земле.	Наносит урон и отбрасывает врагов, обжигает в течение 3 с.	0	0	0	Живой огненный шар	Враги воспламеняются на 3 с.	Пламенное сердце	Оставляет на земле наносящий урон огненный след.	Эффект "Пламенное сердце"	Полоса разрушения	1
10206	Полоса разрушения VI	0	0	0	300	0	0	0	500	500	1	0	1	1	45	0.003	4	2	4	3	10	930	1	33000	0	0	40202+40201	0	Стремительный бросок наносит урон и разбрасывает врагов. Оставляет огненный след на земле.	Наносит урон и отбрасывает врагов, обжигает в течение 3 с.	0	0	0	Живой огненный шар	Враги воспламеняются на 3 с.	Пламенное сердце	Оставляет на земле наносящий урон огненный след.	Увеличен урон.	Полоса разрушения	1
10301	Красная пелена I	0	3	-1	400	0	0	0	0	10000	1	0	1	1	0	0	4	1	1	0	5	30	1	700	0	40301	0	0	Гнев дает вам новые силы. Увеличивает урон и улучшает все умения с атрибутом СИЛА.	Увеличивает СИЛУ на 10  с. Увеличивает урон и улучшает способности с атрибутом СИЛА.	0	0	0						Красная пелена	2
10302	Красная пелена II	0	3	-1	400	0	0	0	0	10000	1	0	1	1	0	0	4	1	1	0	5	210	1	1200	0	40302	0	0	Гнев дает вам новые силы. Увеличивает урон и улучшает все умения с атрибутом СИЛА.	Увеличивает СИЛУ на 10  с. Увеличивает урон и улучшает способности с атрибутом СИЛА.	0	0	0					Увеличена СИЛА.	Красная пелена	2
10303	Красная пелена III	0	3	-1	400	0	0	0	0	12000	1	0	1	1	0	0	4	1	1	0	5	390	1	3200	0	40303	0	0	Гнев дает вам новые силы. Увеличивает урон и улучшает все умения с атрибутом СИЛА.	Увеличивает СИЛУ на 12  с. Увеличивает урон и улучшает способности с атрибутом СИЛА.	0	0	0	Слепая ярость	Увеличен прирост СИЛЫ. Больше длительность.			Эффект "слепая ярость".	Красная пелена	2
10304	Красная пелена IV	0	3	-1	400	0	0	0	0	14000	1	0	1	1	0	0	4	1	1	0	5	570	1	11000	0	40304	0	0	Гнев дает вам новые силы. Увеличивает урон и улучшает все умения с атрибутом СИЛА.	Увеличивает СИЛУ на 14  с. Увеличивает урон и улучшает способности с атрибутом СИЛА.	0	0	0	Слепая ярость	Увеличен прирост СИЛЫ. Больше длительность.			Больше длительность.	Красная пелена	2
10305	Красная пелена V	0	3	-1	400	0	0	0	0	14000	1	0	1	1	0	0	4	1	1	0	5	750	1	19000	0	40305	0	0	Гнев дает вам новые силы. Увеличивает урон и скорость атаки, улучшает все умения с атрибутом СИЛА.	Увеличивает СИЛУ на 14s. Увеличивает урон и скорость атаки, улучшает способности с атрибутом СИЛА.	0	0	0	Слепая ярость	Увеличен прирост СИЛЫ.	Буйство	Увеличена скорость атаки.	Эффект "буйство"	Красная пелена	2
10306	Красная пелена VI	0	3	-1	400	0	0	0	0	14000	1	0	1	1	0	0	4	1	1	0	5	870	1	31500	0	40306	0	0	Гнев дает вам новые силы. Увеличивает урон и скорость атаки, улучшает все умения с атрибутом СИЛА.	Увеличивает СИЛУ на 14s. Увеличивает урон и скорость атаки, улучшает способности с атрибутом СИЛА.	0	0	0	Слепая ярость	Увеличен прирост СИЛЫ.	Буйство	Увеличена скорость атаки.	Еще больше увеличена скорость атаки.	Красная пелена	2
10401	Алчущий взмах I	0	0	-1	200	133	0	0	500	500	1	0	1	1	12	0.008	4	2	2	0	3	60	1	700	0	40401	0	0	Могучий взмах, наносящий урон нескольким противникам и крадущий их жизненную силу.	Лечит на 90% oт нанесенного урона. Дистанция 3 метра.	0	0	0						Алчущий взмах	3
10402	Алчущий взмах II	0	0	-1	200	133	0	0	500	500	1	0	1	1	15	0.008	4	2	2	0	3	240	1	1400	0	40402	0	0	Могучий взмах, наносящий урон нескольким противникам и крадущий их жизненную силу.	Лечит на 90% oт нанесенного урона. Дистанция 3 метра.	0	0	0					Увеличен урон.	Алчущий взмах	3
10403	Алчущий взмах III	0	0	-1	300	133	0	0	500	500	1	0	1	1	15	0.008	4	2	2	0	3	420	1	2200	0	40403	0	0	Могучий взмах, наносящий урон нескольким противникам и крадущий их жизненную силу.	Лечит на 95% oт нанесенного урона. Дистанция 3 метра.	0	0	0	Голод	Бонус к лечению.			Эффект "голод"	Алчущий взмах	3
10404	Алчущий взмах IV	0	0	-1	300	133	0	0	500	500	1	0	1	1	21	0.008	4	2	2	0	3	600	1	9500	0	40404	0	0	Могучий взмах, наносящий урон нескольким противникам и крадущий их жизненную силу.	Лечит на 95% oт нанесенного урона. Дистанция 3 метра.	0	0	0	Голод	Бонус к лечению.			Увеличен урон.	Алчущий взмах	3
