INT	STRING	INT	INT	INT	FLOAT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
ID	Name	ReplaceType	status type	Target	Bonus	Duration	Chance	ReplaceRule	EndCondition	Effect	Des	statusType	ContinueType	Tick	ActiveAtStart	elementType	IconIdx	UIPriority
ID	Buff Name	ReplaceType	status type	Target	NOT USED	Duration	Chance	NOT USED	NOT USED	Effect	Buff Description	statusType	NOT USED	NOT USED	NOT USED	Attack Element	II	UIPriority
40201	Полоса разрушения: Отбрасывание	0	0	0	2	400	100	0	0	50201	Полоса разрушения: Отбрасывание	304	0	0	0	-1	0	-1
40202	Полоса разрушения: Отбрасывание	0	0	0	0.05	3000	100	0	0	50202	Полоса разрушения: Отбрасывание	306	1	3	0	0	33	0
40301	Красная пелена I	3	0	2	0	10000	100	0	0	40301	Красная пелена I	111	0	0	0	-1	17	0
40302	Красная пелена II	3	0	2	0	10000	100	0	0	40302	Красная пелена II	111	0	0	0	-1	17	0
40303	Красная пелена III	3	0	2	0	12000	100	0	0	40303	Красная пелена III	111	0	0	0	-1	17	0
40304	Красная пелена IV	3	0	2	0	14000	100	0	0	40303	Красная пелена IV	111	0	0	0	-1	17	0
40305	Красная пелена V	3	0	2	0	14000	100	0	0	40315+40303	Красная пелена V	111	0	0	0	-1	17	0
40306	Красная пелена VI	3	0	2	0	14000	100	0	0	40316+40303	Красная пелена VI	111	0	0	0	-1	17	0
40401	Алчущий взмах I	0	0	0	0.5	0	100	0	0	50301	Алчущий взмах I	307	0	0	0	-1	5	0
40402	Алчущий взмах II	0	0	0	0.5	0	100	0	0	50301	Алчущий взмах II	307	0	0	0	-1	5	0
40403	Алчущий взмах III	0	0	0	0.5	0	100	0	0	50301	Алчущий взмах III	307	0	0	0	-1	5	0
40404	Алчущий взмах IV	0	0	0	0.5	0	100	0	0	50301	Алчущий взмах IV	307	0	0	0	-1	5	0
40405	Алчущий взмах V	0	0	0	0.5	0	100	0	0	50302	Алчущий взмах V	307	0	0	0	-1	5	0
40406	Алчущий взмах VI	0	0	0	0.5	0	100	0	0	50302	Алчущий взмах VI	307	0	0	0	-1	5	0
40501	Град ударов: Оглушение	0	0	0	0	2500	100	0	0	60005	Град ударов: Оглушение	300	0	0	0	-1	27	0
40502	Град ударов: Горение	0	0	0	0	3000	100	0	0	50501	Град ударов: Горение	306	1	3	0	0	33	0
40601	Ударная волна: Отбрасывание	0	0	0	2	400	100	0	0	50001	Ударная волна: Отбрасывание	304	0	0	0	-1	0	-1
40701	Метеоритный дождь I	0	0	0	3	2100	100	0	0	61201	Метеоритный дождь I	0	0	0	0	-1	11	0
40702	Метеоритный дождь II	0	0	0	3	2100	100	0	0	61202	Метеоритный дождь II	0	0	0	0	-1	11	0
40703	Метеоритный дождь III	0	0	0	3	2100	100	0	0	61202	Метеоритный дождь III	0	0	0	0	-1	11	0
40704	Метеоритный дождь IV	0	0	0	3	2100	100	0	0	61203	Метеоритный дождь IV	0	0	0	0	-1	11	0
40705	Метеоритный дождь V	0	0	0	3	3100	100	0	0	61203	Метеоритный дождь V	0	0	0	0	-1	11	0
40706	Метеоритный дождь VI	0	0	0	3	3100	100	0	0	61203	Метеоритный дождь VI	0	0	0	0	-1	11	0
40715	Метеоритный дождь V: Замедление	3	0	0	3	3100	100	0	0	61204	Метеоритный дождь: Замедление	303	0	0	0	-1	11	0
40716	Метеоритный дождь VI: Замедление	3	0	0	3	4100	100	0	0	61204	Метеоритный дождь: Замедление	303	0	0	0	-1	11	0
40801	Каменная кожа  I	3	0	2	0.2	10000	100	0	0	15001	Каменная кожа  I	402	0	0	0	-1	31	0
40802	Каменная кожа II	3	0	2	0.2	10000	100	0	0	15002	Каменная кожа II	402	0	0	0	-1	31	0
40803	Каменная кожа III	3	0	2	0.2	12000	100	0	0	16001+16002+16003+16004+15002	Каменная кожа III	402	0	0	0	-1	31	0
40804	Каменная кожа IV	3	0	2	0.2	14000	100	0	0	16001+16002+16003+16004+15002	Каменная кожа IV	402	0	0	0	-1	31	0
40805	Каменная кожа V	3	0	2	0.2	14000	100	0	0	16001+16002+16003+16004+15003	Каменная кожа V	402	0	0	0	-1	31	0
40806	Каменная кожа VI	3	0	2	0.2	14000	100	0	0	16001+16002+16003+16004+15003	Каменная кожа VI	402	0	0	0	-1	31	0
40815	Каменная кожа V: Оглушение врага	0	1	0	0	14000	100	0	0	16005	Каменная кожа V: Оглушение 	0	0	0	0	-1	0	-1
40825	Каменная кожа V: Оглушение 	3	0	0	0	1500	5	0	0	60005	Каменная кожа V: Оглушение 	300	0	0	0	-1	27	0
40816	Каменная кожа VI: Оглушение врага	0	1	0	0	14000	100	0	0	16006	Каменная кожа VI: Оглушение	0	0	0	0	-1	0	-1
40826	Каменная кожа VI: Оглушение	3	0	0	0	1500	10	0	0	60005	Каменная кожа VI: Оглушение	300	0	0	0	-1	27	0
40901	Потусторонний крик I	0	0	0	0	4000	100	0	0	61004	Потусторонний крик I	308	0	0	0	-1	34	0
40902	Потусторонний крик II	0	0	0	0	4000	100	0	0	61004	Потусторонний крик II	308	0	0	0	-1	34	0
40903	Потусторонний крик III	0	0	0	0	5000	100	0	0	61004	Потусторонний крик III	308	0	0	0	-1	34	0
40904	Потусторонний крик IV	0	0	0	0	5500	100	0	0	61004	Потусторонний крик IV	308	0	0	0	-1	34	0
40905	Потусторонний крик V	0	0	0	0	5500	100	0	0	61004	Потусторонний крик V	308	0	0	0	-1	34	0
40906	Потусторонний крик VI	0	0	0	0	5500	100	0	0	61004	Потусторонний крик VI	308	0	0	0	-1	34	0
41001	Железные шипы I	3	1	0	0	10000	100	0	0	61101	Железные шипы I	400	0	0	0	-1	35	0
41002	Железные шипы II	3	1	0	0	10000	100	0	0	61102	Железные шипы II	400	0	0	0	-1	35	0
41003	Железные шипы III	3	1	0	0	12000	100	0	0	61103	Железные шипы III	400	0	0	0	-1	35	0
41004	Железные шипы IV	3	1	0	0	14000	100	0	0	61103	Железные шипы IV	400	0	0	0	-1	35	0
41005	Железные шипы V	3	1	0	0	14000	100	0	0	61115+61103	Железные шипы V	400	0	0	0	-1	35	0
41006	Железные шипы VI	3	1	0	0	14000	100	0	0	61116+61103	Железные шипы VI	400	0	0	0	-1	35	0
41015	Железные шипы V: Яд	0	0	0	0.05	3000	20	0	0	61110	Железные шипы V: Яд	305	1	3	0	-1	32	0
41016	Железные шипы VI: Яд	0	0	0	0.05	3000	30	0	0	61110	Железные шипы VI: Яд	305	1	3	0	-1	32	0
41101	Кольцо холода I	3	0	0	0.25	4000	100	0	0	51101	Кольцо холода I	302	0	0	0	-1	7	0
41102	Кольцо холода II	3	0	0	0.25	4000	100	0	0	51101	Кольцо холода II	302	0	0	0	-1	7	0
41103	Кольцо холода III	3	0	0	0.25	5000	100	0	0	51101	Кольцо холода III	302	0	0	0	-1	7	0
41104	Кольцо холода IV	3	0	0	0.25	5000	100	0	0	51101	Кольцо холода IV	302	0	0	0	-1	7	0
41105	Кольцо холода V	3	0	0	0.25	5000	100	0	0	51101	Кольцо холода V	302	0	0	0	-1	7	0
41106	Кольцо холода VI	3	0	0	0.25	5000	100	0	0	51101	Кольцо холода VI	302	0	0	0	-1	7	0
41115	Кольцо холода V: Озноб	3	0	2	0	7000	100	0	0	51102	Кольцо холода V: Озноб	201	0	0	0	-1	14	0
