INT	FLOAT	INT	INT	INT	INT
Level 	DamageModifier	ChanceNoAttribute 	 Enchant 	 Colour 	Element 
Level 	Damage Modifier (%)	Chance No Attribute Occurs %	Chance Enchant Occurs %	Chance Colour Occurs %	Chance Element Occurs %
1	0.05	10	38	33	35
2	0.06	10	36	31	30
3	0.07	74	27	18	9
4	0.08	74	28	19	9
5	0.09	73	29	20	10
6	0.1	73	29	20	10
7	0.11	72	30	21	11
8	0.12	72	30	21	11
9	0.13	71	31	22	11
10	0.14	71	31	22	12
11	0.15	70	32	23	12
12	0.16	70	32	23	12
13	0.17	69	33	24	13
14	0.18	69	33	24	13
15	0.19	68	34	25	13
16	0.2	68	34	25	14
17	0.21	67	35	26	14
18	0.22	67	35	26	14
19	0.23	66	36	27	15
20	0.24	66	36	27	15
21	0.25	65	37	28	15
22	0.26	65	37	28	16
23	0.27	64	38	29	16
24	0.28	64	38	29	16
25	0.29	63	39	30	17
26	0.3	63	39	30	17
27	0.31	62	40	31	17
28	0.32	62	40	31	18
29	0.33	61	41	32	18
30	0.34	61	41	32	18
31	0.35	60	42	33	19
32	0.36	60	42	33	19
33	0.37	59	43	34	19
34	0.38	59	43	34	20
35	0.39	58	44	35	20
36	0.4	58	44	35	20
37	0.41	57	45	36	21
38	0.42	57	45	36	21
39	0.43	56	46	37	21
40	0.44	56	46	37	22
41	0.45	55	47	37	22
42	0.46	55	47	37	22
43	0.47	54	48	37	23
44	0.48	54	48	37	23
45	0.49	53	49	37	23
46	0.5	53	49	37	24
47	0.51	52	50	37	24
48	0.52	52	50	37	24
49	0.53	51	50	37	25
50	0.54	51	50	37	25
51	0.55	50	50	37	25
52	0.56	50	50	37	25
53	0.57	49	50	37	25
54	0.58	49	50	37	25
55	0.59	48	50	37	25
56	0.6	48	50	37	25
57	0.61	47	50	37	25
58	0.62	47	50	37	25
59	0.63	46	50	37	25
60	0.64	46	50	37	25
