INT	STRING	INT	INT	STRING	STRING	STRING	FLOAT	INT	FLOAT	INT	INT	STRING	INT	INT
ID	Element Type	Chance 	Element Level	Element Desc String 1	Element Desc String 2	Status Effect	Status Effect Bonus %	Element Impact VFX	Value	Element	IconID	Element Name	Min	Max
ID	Element String	(NOT USED) Attach Chance %	Element Level	Element Desc String 1	Element Desc String 2	Status Effect	Status Effect Bonus %	Element Impact VFX	Value	Element	IconID	Name String	Min Item Level for Element	Max Item Level for Element
101	Меховой I	14	1	2% сопротивление 	холоду	ResistFrost	0.02	0	2	5	5	Меховой 	1	60
102	Меховой II	8	2	4% сопротивление 	холоду	ResistFrost	0.04	0	2	5	5	Меховой 	12	60
103	Меховой III	3	3	6% сопротивление 	холоду	ResistFrost	0.06	0	2	5	5	Меховой 	25	60
104	Меховой IV	0	4	8% сопротивление 	холоду	ResistFrost	0.08	0	4	5	5	Меховой 	60	60
105	Меховой V	0	5	10% сопротивление 	холоду	ResistFrost	0.1	0	4	5	5	Меховой 	60	60
106	Меховой VI	0	6	12% сопротивление 	холоду	ResistFrost	0.12	0	4	5	5	Меховой 	60	60
107	Меховой VII	0	7	14% сопротивление 	холоду	ResistFrost	0.14	0	6	5	5	Меховой 	60	60
108	Меховой VIII	0	8	16% сопротивление 	холоду	ResistFrost	0.16	0	6	5	5	Меховой 	60	60
109	Меховой IX	0	9	18% сопротивление 	холоду	ResistFrost	0.18	0	6	5	5	Меховой 	60	60
110	Меховой X	0	10	20% сопротивление 	холоду	ResistFrost	0.2	0	8	5	5	Меховой 	60	60
201	Индевелый I	14	1	2% сопротивление 	огню	ResistFlame	0.02	0	2	4	6	индевелый 	1	60
202	Индевелый II	8	2	4% сопротивление 	огню	ResistFlame	0.04	0	2	4	6	индевелый 	12	60
203	Индевелый III	3	3	6% сопротивление 	огню	ResistFlame	0.06	0	2	4	6	индевелый 	25	60
204	Индевелый IV	0	4	8% сопротивление 	огню	ResistFlame	0.08	0	4	4	6	индевелый 	60	60
205	Индевелый V	0	5	10% сопротивление 	огню	ResistFlame	0.1	0	4	4	6	индевелый 	60	60
206	Индевелый VI	0	6	12% сопротивление 	огню	ResistFlame	0.12	0	4	4	6	индевелый 	60	60
207	Индевелый VII	0	7	14% сопротивление 	огню	ResistFlame	0.14	0	6	4	6	индевелый 	60	60
208	Индевелый VIII	0	8	16% сопротивление 	огню	ResistFlame	0.16	0	6	4	6	индевелый 	60	60
209	Индевелый IX	0	9	18% сопротивление 	огню	ResistFlame	0.18	0	6	4	6	индевелый 	60	60
210	Индевелый X	0	10	20% сопротивление 	огню	ResistFlame	0.2	0	8	4	6	индевелый 	60	60
301	Облицованный I	14	1	2% сопротивление 	взрыву	ResistExplosion	0.02	0	2	6	7	облицованный 	1	60
302	Облицованный II	8	2	4% сопротивление 	взрыву	ResistExplosion	0.04	0	2	6	7	облицованный 	12	60
303	Облицованный III	3	3	6% сопротивление 	взрыву	ResistExplosion	0.06	0	2	6	7	облицованный 	25	60
304	Облицованный IV	0	4	8% сопротивление 	взрыву	ResistExplosion	0.08	0	4	6	7	облицованный 	60	60
305	Облицованный V	0	5	10% сопротивление 	взрыву	ResistExplosion	0.1	0	4	6	7	облицованный 	60	60
306	Облицованный VI	0	6	12% сопротивление 	взрыву	ResistExplosion	0.12	0	4	6	7	облицованный 	60	60
307	Облицованный VII	0	7	14% сопротивление 	взрыву	ResistExplosion	0.14	0	6	6	7	облицованный 	60	60
308	Облицованный VIII	0	8	16% сопротивление 	взрыву	ResistExplosion	0.16	0	6	6	7	облицованный 	60	60
309	Облицованный IX	0	9	18% сопротивление 	взрыву	ResistExplosion	0.18	0	6	6	7	облицованный 	60	60
310	Облицованный X	0	10	20% сопротивление 	взрыву	ResistExplosion	0.2	0	8	6	7	облицованный 	60	60
401	Изолированный I	14	1	2% сопротивление 	молнии	ResistStorm	0.02	0	2	7	8	изолированный 	1	60
402	Изолированный II	8	2	4% сопротивление 	молнии	ResistStorm	0.04	0	2	7	8	изолированный 	12	60
403	Изолированный III	3	3	6% сопротивление 	молнии	ResistStorm	0.06	0	2	7	8	изолированный 	25	60
404	Изолированный IV	0	4	8% сопротивление 	молнии	ResistStorm	0.08	0	4	7	8	изолированный 	60	60
405	Изолированный V	0	5	10% сопротивление 	молнии	ResistStorm	0.1	0	4	7	8	изолированный 	60	60
406	Изолированный VI	0	6	12% сопротивление 	молнии	ResistStorm	0.12	0	4	7	8	изолированный 	60	60
407	Изолированный VII	0	7	14% сопротивление 	молнии	ResistStorm	0.14	0	6	7	8	изолированный 	60	60
408	Изолированный VIII	0	8	16% сопротивление 	молнии	ResistStorm	0.16	0	6	7	8	изолированный 	60	60
409	Изолированный IX	0	9	18% сопротивление 	молнии	ResistStorm	0.18	0	6	7	8	изолированный 	60	60
410	Изолированный X	0	10	20% сопротивление 	молнии	ResistStorm	0.2	0	8	7	8	изолированный 	60	60
