INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	STRING
prefabID	prefab	Min	Max	Name String	Head Name String	Chest Name String	Legs Name String	Type	Type String
Weapon Prefab	Cloak Prefab	Min Item Level for Prefab	Max Item Level for Prefab	Name String	Head Name String	Chest Name String	Legs Name String	Type	Type String
101	MNK01	1	8	Монашеский 	Клобук 	Халат	Обмоток	8	легкая
102	MNK02	4	18	Жреческий 	Клобук 	Халат	Обмоток	8	легкая
103	MNK03	13	30	Священный 	Клобук 	Халат	Обмоток	8	легкая
201	NIN01	1	8	Ниндзя 	Капюшон 	Ги	Дзубон	8	легкая
202	NIN02	4	18	Шпионcкий 	Капюшон 	Ги	Дзубон	8	легкая
203	NIN03	13	30	Теневой 	Капюшон 	Ги	Дзубон	8	легкая
301	SLD01	1	8	Солдатский 	Шлем 	Нагрудник	Наголенник	16	средняя
302	SLD02	4	18	Бандитский 	Шлем 	Нагрудник	Наголенник	16	средняя
303	SLD03	13	30	Ронинский 	Шлем 	Нагрудник	Наголенник	16	средняя
401	SAM01	1	8	Самурайский 	Шлем 	Панцирь	Наголенник	32	тяжелая
402	SAM02	4	18	Хатамото 	Шлем 	Панцирь	Наголенник	32	тяжелая
403	SAM03	13	30	Бусидо 	Шлем 	Панцирь	Наголенник	32	тяжелая
501	TRP01	4	18	Кожевника 	Колпак 	Жилет	Дзубон	8	легкая
502	TRP02	13	42	Следопыта 	Колпак 	Жилет	Дзубон	8	легкая
503	TRP03	22	60	Зверолова 	Колпак 	Жилет	Дзубон	8	легкая
601	HES01	4	18	Новобранца 	Колпак 	Мундир	Дзубон	16	средняя
602	HES02	13	42	Пехотинца 	Колпак 	Мундир	Дзубон	16	средняя
603	HES03	22	60	Гессиан 	Колпак 	Мундир	Дзубон	16	средняя
701	KAB01	4	18	Хирандай 	Капюшон 	Катагину	Хакама	16	средняя
702	KAB02	13	42	Чунадай 	Капюшон 	Катагину	Хакама	16	средняя
703	KAB03	22	60	Онадай 	Капюшон 	Катагину	Хакама	16	средняя
801	ORD01	13	42	Разведчика 	Обруч 	Нагрудник	Дзубон	16	средняя
802	ORD02	22	60	Охотника 	Обруч 	Нагрудник	Дзубон	16	средняя
803	ORD03	31	60	Орденский 	Обруч 	Нагрудник	Дзубон	16	средняя
901	CHA01	13	42	Йокая 	Шлем 	Панцирь	Наголенник	32	тяжелая
902	CHA02	22	60	Якши 	Шлем 	Панцирь	Наголенник	32	тяжелая
903	CHA03	31	60	Онибабы 	Шлем 	Панцирь	Наголенник	32	тяжелая
1001	CHERRY	0	0	Cherry 	Top	Body	Legs	32	Heavy 
1002	GWOLF01	0	0	Granny 	Cap	Nighty	Pants	32	Heavy 
1003	HULA	0	0	Hula 	Flower	Lei	Grass Skirt	32	Heavy 
1004	SAILOR	0	0	Sailor 	Top	Body	Legs	32	Heavy 
1005	STRAW	0	0	Straw 	Top	Body	Legs	32	Heavy 
1006	TEAPOT	0	0	Teapot 	Top	Body	Legs	32	Heavy 
