INT	STRING
ID	Dialogue
ID	Dialogue text
0	[DEBUG] Ворота закрыты
1	[DEBUG] Ворота открыты
2	Взгляните на мой товар!
3	У меня новые товары!
4	Доступны новые миссии!
5	Защитите нас!
6	Не желаете суши ролл?
7	Тс-с! Вам нужен ключ от сундука?
8	Бен - нубас!
9	[invalid Chars] … ’
10	Доступны новые миссии!
11	Защитите нас!
12	Спасибо Троице за вашу помощь!
13	Поставщик миссий (4)
14	Поставщик миссий (5)
15	Поставщик миссий (6)
16	Поставщик миссий (7)
17	Поставщик миссий (8)
18	Поставщик миссий (9)
19	Поставщик миссий (10)
20	Новые товары! Взгляните на новые товары!
21	Загляните в наш магазин!
22	Покупайте или продавайте предметы!
23	Торговец (4)
24	Торговец (5)
25	Торговец (6)
26	Торговец (7)
27	Торговец (8)
28	Торговец (9)
29	Торговец (10)
30	Магазин способностей открыт!
31	Загляните сюда, чтобы пополнить свой арсенал!
32	Освойте новые способности уже сегодня!
33	Тренер (4)
34	Тренер (5)
35	Тренер (6)
36	Тренер (7)
37	Тренер (8)
38	Тренер (9)
39	Тренер (10)
40	Духи-хранители могут усилить ваши навыки!
41	Заходите к нам!
42	Ваш любимый дух-хранитель ждет вас!
43	Призыватель духов (4)
44	Призыватель духов (5)
45	Призыватель духов (6)
46	Призыватель духов (7)
47	Призыватель духов (8)
48	Призыватель духов (9)
49	Призыватель духов (10)
50	Защитите нас!
51	Спасибо Троице за вашу помощь!
52	Мои товары могут помочь вам в пути.
53	Старейшина Айну (4)
54	Старейшина Айну (5)
55	Старейшина Айну (6)
56	Старейшина Айну (7)
57	Старейшина Айну (8)
58	Старейшина Айну (9)
59	Старейшина Айну (10)
60	Аканейро (60)
61	Аканейро (61)
62	Аканейро (62)
63	Аканейро (63)
64	Аканейро (64)
65	Аканейро (65)
66	Аканейро (66)
67	Аканейро (67)
68	Аканейро (68)
69	Аканейро (69)
70	Создайте любой предмет, какой вам нужен!
71	Я помогу вам создать идеальное оружие.
72	Несите мне материалы.
73	Ремесленник (4)
74	Ремесленник (5)
75	Ремесленник (6)
76	Ремесленник (7)
77	Мы все еще чиним наш магазин.
78	Магазин ремесел скоро откроется!
79	Мастерская временно не работает
80	У меня только лучшие товары.
81	Я специализируюсь на редких товарах!
82	У меня есть все, что вам нужно… За правильную цену.
