INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	STRING
ID	EquipClass	MasteryLevel	MasteryType	karmaCost	BaseStatLvNeeded	BuffID	Name	Description	Description	Discipline	TrainTime	ShortName
ID	EquipClass	MasteryLevel	MasteryType	karmaCost	BaseStatLvNeeded	BuffID	Name	Description	Description	Discipline	TrainTime	ShortName
1001	1	1	0	1000	60	101001	Дуэлянт I	Меткость, мастерство и смертоносность.	+ 0+1+14+3% к критическому урону при использовании одноручного оружия.	4	5	Дуэлянт
1002	1	2	0	2500	150	101002	Дуэлянт II	Меткость, мастерство и смертоносность.	+ 0+1+14+6% к критическому урону при использовании одноручного оружия.	4	10	Дуэлянт
1003	1	3	0	5000	240	101003	Дуэлянт III	Меткость, мастерство и смертоносность.	+ 0+1+14+9% к критическому урону при использовании одноручного оружия.	4	15	Дуэлянт
1004	1	4	0	10000	330	101004	Дуэлянт IV	Меткость, мастерство и смертоносность.	+ 0+1+14+12% к критическому урону при использовании одноручного оружия.	4	20	Дуэлянт
1005	1	5	0	20000	420	101005	Дуэлянт V	Меткость, мастерство и смертоносность.	+ 0+1+14+15% к критическому урону при использовании одноручного оружия.	4	40	Дуэлянт
1006	1	6	0	23750	510	101006	Дуэлянт VI	Меткость, мастерство и смертоносность.	+ 0+1+14+18% к критическому урону при использовании одноручного оружия.	4	60	Дуэлянт
1007	1	7	0	29500	600	101007	Дуэлянт VII	Меткость, мастерство и смертоносность.	+ 0+1+14+21% к критическому урону при использовании одноручного оружия.	4	90	Дуэлянт
1008	1	8	0	35250	690	101008	Дуэлянт VIII	Меткость, мастерство и смертоносность.	+ 0+1+14+24% к критическому урону при использовании одноручного оружия.	4	120	Дуэлянт
1009	1	9	0	41000	780	101009	Дуэлянт IX	Меткость, мастерство и смертоносность.	+ 0+1+14+27% к критическому урону при использовании одноручного оружия.	4	160	Дуэлянт
1010	1	10	0	46750	870	101010	Дуэлянт X	Меткость, мастерство и смертоносность.	+ 0+1+14+30% к критическому урону при использовании одноручного оружия.	4	240	Дуэлянт
2001	2	1	0	1000	60	102001	Бой двумя руками I	Яростный натиск и молниеносная скорость.	+ 0+1+13+1% к скорости атаки при использовании оружия в обеих руках.	1	5	Бой двумя руками
2002	2	2	0	2500	150	102002	Бой двумя руками II	Яростный натиск и молниеносная скорость.	+ 0+1+13+2% к скорости атаки при использовании оружия в обеих руках.	1	10	Бой двумя руками
2003	2	3	0	5000	240	102003	Бой двумя руками III	Яростный натиск и молниеносная скорость.	+ 0+1+13+3% к скорости атаки при использовании оружия в обеих руках.	1	15	Бой двумя руками
2004	2	4	0	10000	330	102004	Бой двумя руками IV	Яростный натиск и молниеносная скорость.	+ 0+1+13+4% к скорости атаки при использовании оружия в обеих руках.	1	20	Бой двумя руками
2005	2	5	0	20000	420	102005	Бой двумя руками V	Яростный натиск и молниеносная скорость.	+ 0+1+13+5% к скорости атаки при использовании оружия в обеих руках.	1	40	Бой двумя руками
2006	2	6	0	23750	510	102006	Бой двумя руками VI	Яростный натиск и молниеносная скорость.	+ 0+1+13+6% к скорости атаки при использовании оружия в обеих руках.	1	60	Бой двумя руками
2007	2	7	0	29500	600	102007	Бой двумя руками VII	Яростный натиск и молниеносная скорость.	+ 0+1+13+7% к скорости атаки при использовании оружия в обеих руках.	1	90	Бой двумя руками
2008	2	8	0	35250	690	102008	Бой двумя руками VIII	Яростный натиск и молниеносная скорость.	+ 0+1+13+8% к скорости атаки при использовании оружия в обеих руках.	1	120	Бой двумя руками
2009	2	9	0	41000	780	102009	Бой двумя руками IX	Яростный натиск и молниеносная скорость.	+ 0+1+13+9% к скорости атаки при использовании оружия в обеих руках.	1	160	Бой двумя руками
2010	2	10	0	46750	870	102010	Бой двумя руками X	Яростный натиск и молниеносная скорость.	+ 0+1+13+10% к скорости атаки при использовании оружия в обеих руках.	1	240	Бой двумя руками
3001	4	1	0	1000	60	103001	Двуручное оружие I	Могучие удары, сметающие и ошеломляющие врагов.	+ 3% к шансу оглушения при использовании двуручного оружия.	2	5	Двуручное оружие
3002	4	2	0	2500	150	103002	Двуручное оружие II	Могучие удары, сметающие и ошеломляющие врагов.	+ 6% к шансу оглушения при использовании двуручного оружия.	2	10	Двуручное оружие
3003	4	3	0	5000	240	103003	Двуручное оружие III	Могучие удары, сметающие и ошеломляющие врагов.	+ 9% к шансу оглушения при использовании двуручного оружия.	2	15	Двуручное оружие
3004	4	4	0	10000	330	103004	Двуручное оружие IV	Могучие удары, сметающие и ошеломляющие врагов.	+ 12% к шансу оглушения при использовании двуручного оружия.	2	20	Двуручное оружие
3005	4	5	0	20000	420	103005	Двуручное оружие V	Могучие удары, сметающие и ошеломляющие врагов.	+ 15% к шансу оглушения при использовании двуручного оружия.	2	40	Двуручное оружие
3006	4	6	0	23750	510	103006	Двуручное оружие VI	Могучие удары, сметающие и ошеломляющие врагов.	+ 18% к шансу оглушения при использовании двуручного оружия.	2	60	Двуручное оружие
3007	4	7	0	29500	600	103007	Двуручное оружие VII	Могучие удары, сметающие и ошеломляющие врагов.	+ 21% к шансу оглушения при использовании двуручного оружия.	2	90	Двуручное оружие
3008	4	8	0	35250	690	103008	Двуручное оружие VIII	Могучие удары, сметающие и ошеломляющие врагов.	+ 24% к шансу оглушения при использовании двуручного оружия.	2	120	Двуручное оружие
3009	4	9	0	41000	780	103009	Двуручное оружие IX	Могучие удары, сметающие и ошеломляющие врагов.	+ 27% к шансу оглушения при использовании двуручного оружия.	2	160	Двуручное оружие
3010	4	10	0	46750	870	103010	Двуручное оружие X	Могучие удары, сметающие и ошеломляющие врагов.	+ 30% к шансу оглушения при использовании двуручного оружия.	2	240	Двуручное оружие
4001	8	1	1	1000	60	104001	Легкая броня I	Время брать ноги в руки!	+ 0+1+12+1% к скорости бега за каждый фрагмент легкой брони на персонаже.	4	5	Легкая броня
4002	8	2	1	2500	150	104002	Легкая броня II	Время брать ноги в руки!	+ 0+1+12+2% к скорости бега за каждый фрагмент легкой брони на персонаже.	4	10	Легкая броня
4003	8	3	1	5000	240	104003	Легкая броня III	Время брать ноги в руки!	+ 0+1+12+3% к скорости бега за каждый фрагмент легкой брони на персонаже.	4	15	Легкая броня
4004	8	4	1	10000	330	104004	Легкая броня IV	Время брать ноги в руки!	+ 0+1+12+4% к скорости бега за каждый фрагмент легкой брони на персонаже.	4	20	Легкая броня
4005	8	5	1	20000	420	104005	Легкая броня V	Время брать ноги в руки!	+ 0+1+12+5% к скорости бега за каждый фрагмент легкой брони на персонаже.	4	40	Легкая броня
4006	8	6	1	23750	510	104006	Легкая броня VI	Время брать ноги в руки!	+ 0+1+12+6% к скорости бега за каждый фрагмент легкой брони на персонаже.	4	60	Легкая броня
4007	8	7	1	29500	600	104007	Легкая броня VII	Время брать ноги в руки!	+ 0+1+12+7% к скорости бега за каждый фрагмент легкой брони на персонаже.	4	90	Легкая броня
4008	8	8	1	35250	690	104008	Легкая броня VIII	Время брать ноги в руки!	+ 0+1+12+8% к скорости бега за каждый фрагмент легкой брони на персонаже.	4	120	Легкая броня
4009	8	9	1	41000	780	104009	Легкая броня IX	Время брать ноги в руки!	+ 0+1+12+9% к скорости бега за каждый фрагмент легкой брони на персонаже.	4	160	Легкая броня
