INT	INT	INT	INT	INT	INT
Level	Exp	Badges	AbilitySlots	MaxHP	Max MP
Level	XP Total Required	Badges	REMOVE IF NOT NEEDED	Max HP	Max MP
1	0	99	1	500	1000
2	832	99	1	520	1000
3	3827	99	1	550	1000
4	10816	99	1	590	1000
5	18803	99	2	640	1000
6	26790	99	2	700	1000
7	38771	99	2	770	1000
8	52250	99	2	850	1000
9	65728	99	2	940	1000
10	84365	99	2	1040	1000
11	103002	99	2	1150	1000
12	121638	99	2	1270	1000
13	141606	99	2	1400	1000
14	166566	99	3	1540	1000
15	191526	99	3	1690	1000
16	221478	99	3	1850	1000
17	251430	99	3	2020	1000
18	293363	99	3	2200	1000
19	335296	99	3	2390	1000
20	377229	99	3	2590	1000
21	425152	99	3	2800	1000
22	481062	99	3	3020	1000
23	536973	99	3	3250	1000
24	592883	99	3	3490	1000
25	652288	99	3	3740	1000
26	720179	99	4	4000	1000
27	788070	99	4	4270	1000
28	859955	99	4	4550	1000
29	931840	99	4	4840	1000
30	1011712	99	4	5140	1000
31	1101568	99	4	5450	1000
32	1191424	99	4	5770	1000
33	1281280	99	4	6100	1000
34	1381120	99	4	6440	1000
35	1480960	99	4	6790	1000
36	1580800	99	4	7150	1000
37	1690624	99	4	7520	1000
38	1800448	99	4	7900	1000
39	1910272	99	4	8290	1000
40	2020096	99	4	8690	1000
41	2139904	99	4	9100	1000
42	2259712	99	4	9520	1000
43	2379520	99	4	9950	1000
44	2499328	99	4	10390	1000
45	2629120	99	4	10840	1000
46	2758912	99	4	11300	1000
47	2888704	99	4	11770	1000
48	3028480	99	4	12250	1000
49	3168256	99	4	12740	1000
50	3308032	99	4	13240	1000
51	3447808	99	4	13750	1000
52	3587584	99	4	14270	1000
53	3737344	99	4	14800	1000
54	3887104	99	4	15340	1000
55	4036864	99	4	15890	1000
56	4186624	99	4	16450	1000
57	4346368	99	4	17020	1000
58	4506112	99	4	17600	1000
59	4665856	99	4	18190	1000
60	4825600	99	4	18790	1000
