INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING
ID	AreaName	AreaDescription	RecommendedPlayerLevel	LockAreaDescription1	LockAreaDescription2	LockAreaDescription3	MissionName	MissionObjective	MissionSuccess	LevelCap	MissionCooldown	EnemyInfo	EnemyIcon	MaterialInfo	MaterialIcon1	BossInfo	BossIcon	LowRecLv	MedRecLv	HiRecLv	OvrRecLv	MissionIcon	Description
ID	AreaName	AreaDescription	RecommendedPlayerLevel	LockAreaDescription1	LockAreaDescription2	LockAreaDescription3	MissionName	MissionObjective	MissionSuccess	LevelCap	MissionCooldown	EnemyInfo	EnemyIcon	MaterialInfo	MaterialIcon1	BossInfo	BossIcon	LowRecLv	MedRecLv	HiRecLv	OvrRecLv	MissionIcon	Description
6000	Деревня Йоми	Сначала это было лагерь племени айну, но прибытие японских поселенцев и торговцев из Европы стимулировали развитие деревни.	Рекомендованный уровень: 1				Добро пожаловать, Красный охотник	Красный охотник! Хвала Троице, это ты! На нашу деревню нападают волки, одержимые какой-то демонической злобой. Вместе мы сможем от них отбиться, старый шаман нам поможет. Скорее, в бой!	Деревня в безопасности - пока. Наверное, тебе хочется отдохнуть с дороги и после боя... Ложа Аканэ будет твоим домом в наших краях. Подходи ко мне, когда проснешься, и я выдам тебе дальнейшие указания. 	0	This mission is curently on cooldown		0		0		9999	1	1	1	1	0	0
5111	Река Сигемори	Стекая с центральной горной гряды острова Йоми, эта река протекает по кромке сосновой чащи и вдоль Большой храмовой дороги.	Рекомендованный уровень: 1		[ffffff]3 миссии - макс. уровень персонажа 4.		Свирепые звери	Стаи местных волков стали слишком агрессивными, что-то сводит их с ума. Узнайте, что происходит в соседней деревне Сигемори. Мы уже несколько дней ничего от них не слышали и боимся самого худшего.	Мы должны отомстить этим зловредным йокай!	0	This mission is curently on cooldown	No elemental enemies are known to to patrol this Area	0	Minimal materials are known to orinigate from this Area	0		9999	1	2	3	4	L1_1	0
5121	Река Сигемори	Стекая с центральной горной гряды острова Йоми, эта река протекает по кромке сосновой чащи и вдоль Большой храмовой дороги.	Рекомендованный уровень: 2				Сердце скверны	Демонические волки сбиваются в огромную стаю в Кровоточащей роще. Осмотрите трупы демонических волков на предмет влияния йокай. Поищите дополнительные улики в логове альфа волка.	Грустно слышать, что этих благородных зверей околдовали демоны.	0	This mission is curently on cooldown	No elemental enemies are known to to patrol this Area	0	Minimal materials are known to orinigate from this Area	0		9999	2	3	4	5	L1_2	0
5141	Река Сигемори	Стекая с центральной горной гряды острова Йоми, эта река протекает по кромке сосновой чащи и вдоль Большой храмовой дороги.	3		[ffffff]3 Missions - Max character level 4.		Blind Rage	Find a path through the forest to the Yokai hideout. But beware, sources nearby indicate the Alpha Female Wolf is in the area, blind with rage at the death of her partner. 	It's unfortunate the Alpha Female Wolf was driven mad by the Yokai's influence. 	0	This mission is curently on cooldown	No elemental enemies are known to to patrol this Area	0	Minimal materials are known to orinigate from this Area	0		9999	3	4	5	6	L1_3	0
5131	Река Сигемори	Стекая с центральной горной гряды острова Йоми, эта река протекает по кромке сосновой чащи и вдоль Большой храмовой дороги.	Рекомендованный уровень: 3				Яростный Уши-Они	Могучий Уши-Они созвал бесов Амано под свои знамена, чтобы сеять хаос на острове Йоми. С наступлением ночи проберитесь на их территорию. Убейте бесовских капитанов, затем отрубите голову их главному командиру.	Король демонов пал! Вы доказали, что вы настоящий охотник Аканэ. Поздравляю!	0	This mission is curently on cooldown	No elemental enemies are known to to patrol this Area	0	Minimal materials are known to orinigate from this Area	0	Area Boss: Ushi Oni is reported to drop high quality materials	1	4	5	6	7	L1_4	0
5211	Ущелье костяной челюсти	Скалистые ущелья врезаются в лесные массивы, обнажая входы в протянувшуюся глубоко под землей систему подземных пещер.	Рекомендованный уровень: 4	[414141]Разблокировать Ущелье костяной челюсти:	[ffffff]Получить доступ к 3 новым миссиям и поднять макс. уровень героя до 8.	[414141]Пройдите Реку Сигемори, чтобы получить доступ к этому району.	Отверженный	Духи погибших волков рыщут по Ущелью костяной челюсти, нападая на всех путников. Встретьте нашего осведомителя, брата Дайсукэ, и отправляйтесь с ним в Утробу Мороко.	Осквернить души этих благородных зверей - мерзкое преступление...	4	This mission is curently on cooldown	Blast enchanted enemies are known to to patrol this Area	Element_Explo	Pelt, Metal and Timber are known to orinigate from this Area	M_Pelt		9999	5	6	7	8	L2_1	0
5221	Ущелье костяной челюсти	Скалистые ущелья врезаются в лесные массивы, обнажая входы в протянувшуюся глубоко под землей систему подземных пещер.	Рекомендованный уровень: 5				Потревоженные духи	Культ Призрачного когтя поднимает мертвых волков из могил. Исследуйте пещеры - Дайсукэ покажет вам путь. Соберите сведения о действиях Призрачного когтя.	Правда о культе Призрачного когтя ужасна. Мы предадим их всех мечу.	4	This mission is curently on cooldown	Blast enchanted enemies are known to to patrol this Area	Element_Explo	Pelt, Metal and Timber are known to orinigate from this Area	M_Pelt		9999	6	7	8	9	L2_2	0
5241	Ущелье костяной челюсти	Скалистые ущелья врезаются в лесные массивы, обнажая входы в протянувшуюся глубоко под землей систему подземных пещер.	7	[414141]Unlock Jawbone Ravine To:	[ffffff]Access 3 More Missions & Raise Character Level Cap to 8.	[414141]Complete Shigemori River to reach this area.	Stolen Remains	The Ghostclaw Cult are capturing wolves to perform horrific experiments on. Your objective it to disable their traps and take down the leader. 	Their operations may be disabled, but they have taken off with the corpse of Lord Wolf Moroko. What do they want with it?	4	This mission is curently on cooldown	Blast enchanted enemies are known to to patrol this Area	Element_Explo	Pelt, Metal and Timber are known to orinigate from this Area	M_Pelt		9999	7	8	9	10	L2_3	0
