INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
MissionID	ComicThemeString	NumberOfComicPages	ComicNarrativeString1	BundleName1	ComicNarrativeString2	BundleName2	ComicNarrativeString3	BundleName3
MissionID	ComicThemeString	NumberOfComicPages	ComicNarrativeString1	BundleName1	ComicNarrativeString2	BundleName2	ComicNarrativeString3	BundleName3
5000	Путь в деревню Йоми	1	"Click -> http://tinyurl.com/alicepledge"	HelpAka				
5010	Прибытие одинокого охотника	3	Хороший охотник идет один	a0m1a	Никто не может контролировать природу	a0m1b	Иногда отважные отступают	a0m1c
5110	Зло питается страхом	3	А страх питается злом	a1m1a	Бессмысленная жестокость масс	a1m1b	Неутолимая жажда крови	a1m1c
5120	Скверна должна быть наказана	3	Расставание с невинностью	a1m2a	Суровые времена требуют суровых мер	a1m2b	Проклятые не знают пощады	a1m2c
5130	Фортуна любит смелых	3	Отвага - оружие. Безрассудство - слабость	a1m3a	Иногда скрытность - это добродетель	a1m3b	Самоуверенность это порок	a1m3c
5210	Чистые души во власти скверны	3	Даже мудрые глаза обманываются	a2m1a	Почтить ритуал издалека	a2m1b	Худшие подозрения подтверждаются	a2m1c
5220	Воплощенное зло нельзя щадить	3	Другое название магии	a2m2a	Тайна нереальной наблюдательности	a2m2b	Ужас последствий	a2m2c
5230	Дух на свободе	3	Восставший из могилы	a2m3a	Некоторые звуки завораживают…	a2m3b	…но лучше не видеть их источника	a2m3c
5310	Гниющую руку надо отрубить	3	Нарушение естественного порядка	a3m1a	Ничто не случайно	a3m1b	Гротескное и фатальное падение	a3m1c
5320	Преступления будут наказаны	3	Святотатство - дело рук трусов	a3m2a	Оскорбление былого величия	a3m2b	Воровство достойно презрения	a3m2c
5330	У кошмара есть имя	3	Охота ожесточает	a3m3a	Здесь сильно трясет...	a3m3b	Может, землетрясение... Но нет	a3m3c
5410	Откровенное святотатство	3	Нехоженная тропа	a4m1a	Профанация святого места	a4m1b	К счастью, и преступникам нужен отдых	a4m1c
5420	Это путь мудрости	2	Зло подстерегает в засаде	a4m2a	Терпеливое ожидание…	a4m2b		0
5430	Труден путь на вершину	3	Предчувствия - палка о двух концах	a4m3a	Иногда природа жалует находчивых	a4m3b	Но просто хитрым быть недостаточно	a4m3c
5510	Холоднее сердца ведьмы	3	Неестественный мороз	a5m1a	Хладнокровное злодеяние	a5m1b	Молиться злу, ими же вызванному	a5m1c
5520	Рыбацкие байки становятся правдой	3	Что кроется за скользким фасадом	a5m2a	Наша кровь горячее	a5m2b	"Хладнокровные" - это про них	a5m2c
5530	Слабость предшествует гибели	3	Жестокость неизбежного	a5m3a	Ветер злых перемен	a5m3b	Страдания и причиненный ущерб	a5m3c
5610	Ушло, но не забыто	3	Прошлое - ключ к будущему	a6m1a	Отваги и благих намерений мало	a6m1b	Благородная и заслуженная церемония	a6m1c
5620	Судьба хуже смерти?	3	Даже герои могут страдать	a6m2a	Только храбрость поможет слабым	a6m2b	Почти неизбежные страдания и смерть	a6m2c
5630	Умереть, не сдаваясь	3	Опасный путь вниз	a6m3a	Зло спешит - аж запыхалось	a6m3b	Новый источник злобы	a6m3c
5710	Невообразимая угроза	3	Страх с неожиданной стороны	a7m1a	Все плохо, с какой стороны ни смотри	a7m1b	Неожиданная причина смерти	a7m1c
5720	Странный фрукт… буквально	3	Если бы растения правили миром	a7m2a	Естественно, как злокачественная опухоль	a7m2b	Противоестественные вкусы	a7m2c
5730	Ужасающий аппетит	3	Что одному еда, другому отбросы	a7m3a	Предупрежден - значит, вооружен	a7m3b	Вооружен - не значит подготовлен	a7m3c
5810	Еще одна безответная молитва	3	Демонический ритуал	a8m1a	Стадный инстинкт будит самое худшее	a8m1b	Зло часто носит личину добродетели	a8m1c
5820	Своих не бросаем	3	Кроты, полевки и демоны	a8m2a	В плену собственной храбрости…	a8m2b	Кто может жить внизу?	a8m2c
5830	Хороший план - дерзкий план	3	Ничья может обернуться победой	a8m3a	Открытие - это еще и возможность	a8m3b	Хорошая мысля приходит по частям	a8m3c
