INT	INT	STRING	INT	STRING	STRING	INT	INT	INT
ID	IconID+1	Name	KS Rent 2 days	Description	Buff	EffectIdx	LevelReq	IsShopShow
ID	IconID+1	Name	Ingame Money	Name	Buff Description	Status ID in Ability.xlsx	LevelReq	IsShopShow
1001	3	Инугами	250	Инугами	Дух-собака. Повышает Силу.	50101	1	1
2001	2	Манеки Неко	320	Манеки Неко	Дух-кошка. Повышает Искусность.	50201	1	1
3001	1	Ёсудзумэ	1200	Ёсудзумэ	Дух-птица. Ускоряет восстановление энергии.	50301	8	1
4001	4	Нисикигои	500	Нисикигои	Дух-рыба. Ускоряет восстановление здоровья.	50401	4	1
5001	5	Нихонзару	1800	Нихонзару	Дух-обезьяна. Увеличивает макс. запас энергии.	50501	12	1
6001	6	Исигамэ	560	Исигамэ	Дух-черепаха. Повышает Защиту.	50601	4	1
7001	7	Кабуки Кодзо	2200	Кабуки Кодзо	Дух-йокай. Повышает скорость атаки.	50701	12	1
1101	9	Золотой Инугами	0	Золотой Инугами	Дух-собака. Шанс взрыва при получении удара. Повышает Силу.	51101	1	0
2101	10	Оригинальная Неко	0	Оригинальная Неко	Дух-кошка. Шанс временной неязвимости при получении удара. Повышает Искусность.	51201	1	0
8001	11	Пинг-Вин	0	Пинг-Вин	Дух-пингвин. Повышает макс. запас энергии и здоровья. Дает иммунитет к холоду. Повышает Защиту.	50801	1	0
9001	12	Карагури Габен	0	Карагури Габен	Дух-йокай. Габен.	50901	1	0
