INT	INT	INT	INT	INT	INT	INT	INT
PlayerLevel	FirstRevive	SecondRevive	ThirdRevive	FourthRevive	FifthRevive	SixthRevive	SeventhRevive
PlayerLevel	FirstRevive	SecondRevive	ThirdRevive	FourthRevive	FifthRevive	SixthRevive	SeventhRevive
0	85	70	55	40	25	10	0
1	0	0	0	0	0	0	0
2	2	3	5	8	13	21	34
3	6	10	16	26	42	67	107
4	8	13	21	34	54	86	138
5	15	24	38	61	98	157	251
6	24	38	61	98	157	251	402
7	28	45	72	115	184	294	470
8	40	64	102	163	261	418	669
9	54	86	138	221	354	566	906
10	60	96	154	246	394	630	1008
11	77	123	197	315	504	806	1290
12	96	154	246	394	630	1008	1613
13	104	166	266	426	682	1091	1746
14	126	202	323	517	827	1323	2117
15	150	240	384	614	982	1571	2514
16	160	256	410	656	1050	1680	2688
17	187	299	478	765	1224	1958	3133
18	216	346	554	886	1418	2269	3630
19	228	365	584	934	1494	2390	3824
20	260	416	666	1066	1706	2730	4368
21	294	470	752	1203	1925	3080	4928
22	308	493	789	1262	2019	3230	5168
23	345	552	883	1413	2261	3618	5789
24	384	614	982	1571	2514	4022	6435
25	400	640	1024	1638	2621	4194	6710
26	442	707	1131	1810	2896	4634	7414
27	486	778	1245	1992	3187	5099	8158
28	504	806	1290	2064	3302	5283	8453
29	551	882	1411	2258	3613	5781	9250
30	600	960	1536	2458	3933	6293	10069
31	620	992	1587	2539	4062	6499	10398
32	672	1075	1720	2752	4403	7045	11272
33	726	1162	1859	2974	4758	7613	12181
34	748	1197	1915	3064	4902	7843	12549
35	805	1288	2061	3298	5277	8443	13509
36	864	1382	2211	3538	5661	9058	14493
37	888	1421	2274	3638	5821	9314	14902
38	950	1520	2432	3891	6226	9962	15939
39	1014	1622	2595	4152	6643	10629	17006
40	1040	1664	2662	4259	6814	10902	17443
41	1107	1771	2834	4534	7254	11606	18570
42	1176	1882	3011	4818	7709	12334	19734
43	1204	1926	3082	4931	7890	12624	20198
44	1276	2042	3267	5227	8363	13381	21410
45	1350	2160	3456	5530	8848	14157	22651
46	1380	2208	3533	5653	9045	14472	23155
47	1457	2331	3730	5968	9549	15278	24445
48	1536	2458	3933	6293	10069	16110	25776
49	1568	2509	4014	6422	10275	16440	26304
50	1650	2640	4224	6758	10813	17301	27682
51	1734	2774	4438	7101	11362	18179	29086
52	1768	2829	4526	7242	11587	18539	29662
53	1855	2968	4749	7598	12157	19451	31122
54	1944	3110	4976	7962	12739	20382	32611
55	1980	3168	5069	8110	12976	20762	33219
56	2072	3315	5304	8486	13578	21725	34760
57	2166	3466	5546	8874	14198	22717	36347
58	2204	3526	5642	9027	14443	23109	36974
59	2301	3682	5891	9426	15082	24131	38610
60	2400	3840	6144	9830	15728	25165	40264
61	2440	3904	6246	9994	15990	25584	40934
62	2542	4067	6507	10411	16658	26653	42645
63	2646	4234	6774	10838	17341	27746	44394
64	2688	4301	6882	11011	17618	28189	45102
65	2795	4472	7155	11448	18317	29307	46891
66	2904	4646	7434	11894	19030	30448	48717
67	2948	4717	7547	12075	19320	30912	49459
68	3060	4896	7834	12534	20054	32086	51338
69	3174	5078	8125	13000	20800	33280	53248
70	3220	5152	8243	13189	21102	33763	54021
71	3337	5339	8542	13667	21867	34987	55979
72	3456	5530	8848	14157	22651	36242	57987
73	3504	5606	8970	14352	22963	36741	58786
74	3626	5802	9283	14853	23765	38024	60838
75	3750	6000	9600	15360	24576	39322	62915
76	3800	6080	9728	15565	24904	39846	63754
77	3927	6283	10053	16085	25736	41178	65885
78	4056	6490	10384	16614	26582	42531	68050
79	4108	6573	10517	16827	26923	43077	68923
80	4240	6784	10854	17366	27786	44458	71133
81	4374	6998	11197	17915	28664	45862	73379
82	4428	7085	11336	18138	29021	46434	74294
83	4565	7304	11686	18698	29917	47867	76587
84	4704	7526	12042	19267	30827	49323	78917
85	4760	7616	12186	19498	31197	49915	79864
86	4902	7843	12549	20078	32125	51400	82240
87	5046	8074	12918	20669	33070	52912	84659
88	5104	8166	13066	20906	33450	53520	85632
89	5251	8402	13443	21509	34414	55062	88099
90	5400	8640	13824	22118	35389	56622	90595
91	5460	8736	13978	22365	35784	57254	91606
92	5612	8979	14366	22986	36778	58845	94152
93	5766	9226	14762	23619	37790	60464	96742
94	5828	9325	14920	23872	38195	61112	97779
95	5985	9576	15322	24515	39224	62758	100413
96	6144	9830	15728	25165	40264	64422	103075
97	6208	9933	15893	25429	40686	65098	104157
98	6370	10192	16307	26091	41746	66794	106870
99	6534	10454	16726	26762	42819	68510	109616
100	6600	10560	16896	27034	43254	69206	110730
