INT	STRING	STRING	STRING
ImgID	Title	Info1	Info2
ImgID	Title	Info1	Info2
0	Движение	[#ffff00]Щелкните левой кнопкой [#ffffff], чтобы передвигаться по игровому миру.	[#ffff00]Щелкните и удерживайте [#ffffff], чтобы продолжать движение.
1	Атака	[#ffff00]Щелкните левой кнопкой [#ffffff]подходящую цель, чтобы атаковать ее текущим оружием.	[#ffff00]Щелкните и удерживайте [#ffffff], чтобы непрерывно атаковать цель.
2	Атака	[#ffffff]Удерживайте [#ffff00]SHIFT [#ffffff] во время атаки, чтобы наносить удары, не сходя с места.	
3	Способности	[#ffff00]Щелкните правой кнопкой мыши или нажмите горячую клавишу[#ffffff], чтобы использовать основные способности.	[#ffffff]Вы также можете непосредственно [#ffff00]нажимать левой кнопкой[#ffffff] кнопки способностей.
4	Здоровье и энергия	[#ffffff]Следите за полосой здоровья; когда она падает, отступайте или готовьтесь биться насмерть.	[#ffffff]Собирая карму с убитых врагов, вы также восстанавливаете немного здоровья.
5	Здоровье и энергия	[#ffffff]Энергия расходуется на применение способностей. Будьте осторожны, когда вступаете в бой с низкой энергией.	[#ffffff]Когда вы не в бою, энергия восстанавливается быстрее.
6	Еще подсказки	[#ffffff]Вы всегда можете перечитать все подсказки в игровом меню.	
7	О Карме	[#ffffff]Остров Йоми заполонили демонические создания под названием Йокай.	[#ffffff]Когда йокай умирают, их кровь мгновенно кристаллизуется, образуя осколки кармы.
8	О Карме	[#ffffff]Осколки кармы используются охотниками Аканэ в качестве валюты и для того, чтобы овладеть новыми способностями.	[#ffffff]Карма также восстанавливает немного здоровья. Собирайте как можно больше кармы, чтобы оставаться в боевой форме.
