INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
ID	Type	AttrID	AttrName	Material1	Count1	Material2	Count2	Material3	Count3	Material4	Count4	KSPrice	KSChance	CrPrice	CrChance
ID	Type	AttrID	AttrName	Material1	Count1	Material2	Count2	Material3	Count3	Material4	Count4	KSPrice	KSChance	CrPrice	CrChance
1101	1	101	Frost I	0	0	0	0	0	0	0	0	0	0	0	0
1102	1	102	Frost II	8001	3	0	0	0	0	0	0	100	99	5	100
1103	1	103	Frost III	8001	5	0	0	0	0	0	0	200	80	20	100
1004	1	104	Frost IV	8001	6	7001	1	0	0	0	0	400	70	35	100
1005	1	105	Frost V	8001	7	7001	2	0	0	0	0	600	60	50	100
1106	1	106	Frost VI	8001	8	7001	3	6005	2	0	0	800	50	65	100
1107	1	107	Frost VII	8001	10	7004	5	6006	3	0	0	1000	40	80	100
1108	1	108	Frost VIII	8001	11	7004	6	6007	5	0	0	1500	20	95	100
1109	1	109	Frost IX	8001	12	7007	7	6008	6	9001	1	2000	15	110	100
1110	1	110	Frost X	8001	13	7007	8	6009	7	9001	2	3000	5	125	100
1201	1	201	Flame I	0	0	0	0	0	0	0	0	0	0	0	0
1202	1	202	Flame II	8002	3	0	0	0	0	0	0	100	99	5	100
1203	1	203	Flame III	8002	5	0	0	0	0	0	0	200	80	20	100
1204	1	204	Flame IV	8002	6	7002	1	0	0	0	0	400	70	35	100
1205	1	205	Flame V	8002	7	7002	2	0	0	0	0	600	60	50	100
1206	1	206	Flame VI	8002	8	7002	3	6001	2	0	0	800	50	65	100
1207	1	207	Flame VII	8002	10	7005	5	6002	3	0	0	1000	40	80	100
1208	1	208	Flame VIII	8002	11	7005	6	6003	5	0	0	1500	20	95	100
1209	1	209	Flame IX	8002	12	7008	7	6004	6	9001	1	2000	15	110	100
1210	1	210	Flame X	8002	13	7008	8	6005	7	9001	2	3000	5	125	100
1301	1	301	Blast I	0	0	0	0	0	0	0	0	0	0	0	0
1302	1	302	Blast II	8003	3	0	0	0	0	0	0	100	99	5	100
1303	1	303	Blast III	8003	5	0	0	0	0	0	0	200	80	20	100
1304	1	304	Blast IV	8003	6	7003	1	0	0	0	0	400	70	35	100
1305	1	305	Blast V	8003	7	7003	2	0	0	0	0	600	60	50	100
1306	1	306	Blast VI	8003	8	7003	3	6001	2	0	0	800	50	65	100
1307	1	307	Blast VII	8003	10	7006	5	6003	3	0	0	1000	40	80	100
1308	1	308	Blast VIII	8003	11	7006	6	6005	5	0	0	1500	20	95	100
1309	1	309	Blast IX	8003	12	7007	7	6007	6	9001	1	2000	15	110	100
1310	1	310	Blast X	8003	13	7007	8	6009	7	9001	2	3000	5	125	100
1401	1	401	Storm I	0	0	0	0	0	0	0	0	0	0	0	0
1402	1	402	Storm II	8004	3	0	0	0	0	0	0	100	99	5	100
1403	1	403	Storm III	8004	5	0	0	0	0	0	0	200	80	20	100
1404	1	404	Storm IV	8004	6	7001	1	0	0	0	0	400	70	35	100
1405	1	405	Storm V	8004	7	7001	2	0	0	0	0	600	60	50	100
1406	1	406	Storm VI	8004	8	7001	3	6002	2	0	0	800	50	65	100
1407	1	407	Storm VII	8004	10	7004	5	6004	3	0	0	1000	40	80	100
1408	1	408	Storm VIII	8004	11	7004	6	6006	5	0	0	1500	20	95	100
1409	1	409	Storm IX	8004	12	7008	7	6008	6	9001	1	2000	15	110	100
1410	1	410	Storm X	8004	13	7008	8	6005	7	9001	2	3000	5	125	100
2101	2	101	Raging I	0	0	0	0	0	0	0	0	0	0	0	0
2102	2	102	Raging II	6008	3	0	0	0	0	0	0	100	99	5	100
2103	2	103	Raging III	6008	5	0	0	0	0	0	0	200	80	20	100
2004	2	104	Raging IV	6008	6	7001	1	0	0	0	0	400	70	35	100
2005	2	105	Raging V	6008	7	7001	2	0	0	0	0	600	60	50	100
2106	2	106	Raging VI	6008	8	7001	3	8002	2	0	0	800	50	65	100
2107	2	107	Raging VII	6008	10	7004	5	8002	3	0	0	1000	40	80	100
2108	2	108	Raging VIII	6008	11	7004	6	8002	5	0	0	1500	20	95	100
2109	2	109	Raging IX	6008	12	7007	7	8002	6	9001	1	2000	15	110	100
2110	2	110	Raging X	6008	13	7007	8	8002	7	9001	2	3000	5	125	100
2201	2	201	Thirsty I	6009	2	0	0	0	0	0	0	0	0	0	0
2202	2	202	Thirsty II	6009	3	0	0	0	0	0	0	100	99	5	100
2203	2	203	Thirsty III	6009	5	0	0	0	0	0	0	200	80	20	100
2204	2	204	Thirsty IV	6009	6	7001	1	0	0	0	0	400	70	35	100
2205	2	205	Thirsty V	6009	7	7001	2	0	0	0	0	600	60	50	100
2206	2	206	Thirsty VI	6009	8	7001	3	8004	2	0	0	800	50	65	100
2207	2	207	Thirsty VII	6009	10	7004	5	8004	3	0	0	1000	40	80	100
2208	2	208	Thirsty VIII	6009	11	7004	6	8004	5	0	0	1500	20	95	100
2209	2	209	Thirsty IX	6009	12	7007	7	8004	6	9001	1	2000	15	110	100
2210	2	210	Thirsty X	6009	13	7007	8	8004	7	9001	2	3000	5	125	100
2301	2	301	Brutal I	6007	2	0	0	0	0	0	0	0	0	0	0
2302	2	302	Brutal II	6007	3	0	0	0	0	0	0	100	99	5	100
2303	2	303	Brutal III	6007	5	0	0	0	0	0	0	200	80	20	100
2304	2	304	Brutal IV	6007	6	7001	1	0	0	0	0	400	70	35	100
2305	2	305	Brutal V	6007	7	7001	2	0	0	0	0	600	60	50	100
2306	2	306	Brutal VI	6007	8	7001	3	8003	2	0	0	800	50	65	100
2307	2	307	Brutal VII	6007	10	7004	5	8003	3	0	0	1000	40	80	100
2308	2	308	Brutal VIII	6007	11	7004	6	8003	5	0	0	1500	20	95	100
2309	2	309	Brutal IX	6007	12	7007	7	8003	6	9001	1	2000	15	110	100
2310	2	310	Brutal X	6007	13	7007	8	8003	7	9001	2	3000	5	125	100
3101	3	101	Fur-Lined I	0	0	0	0	0	0	0	0	0	0	0	0
3102	3	102	Fur-Lined II	8001	3	0	0	0	0	0	0	100	99	5	100
3103	3	103	Fur-Lined III	8001	5	0	0	0	0	0	0	200	80	20	100
3004	3	104	Fur-Lined IV	8001	6	7001	1	0	0	0	0	400	70	35	100
3005	3	105	Fur-Lined V	8001	7	7001	2	0	0	0	0	600	60	50	100
3106	3	106	Fur-Lined VI	8001	8	7001	3	6005	2	0	0	800	50	65	100
3107	3	107	Fur-Lined VII	8001	10	7004	5	6006	3	0	0	1000	40	80	100
3108	3	108	Fur-Lined VIII	8001	11	7004	6	6007	5	0	0	1500	20	95	100
3109	3	109	Fur-Lined IX	8001	12	7007	7	6008	6	9001	1	2000	15	110	100
3110	3	110	Fur-Lined X	8001	13	7007	8	6009	7	9001	2	3000	5	125	100
3201	3	201	Chilled I	0	0	0	0	0	0	0	0	0	0	0	0
3202	3	202	Chilled II	8002	3	0	0	0	0	0	0	100	99	5	100
3203	3	203	Chilled III	8002	5	0	0	0	0	0	0	200	80	20	100
3204	3	204	Chilled IV	8002	6	7002	1	0	0	0	0	400	70	35	100
3205	3	205	Chilled V	8002	7	7002	2	0	0	0	0	600	60	50	100
3206	3	206	Chilled VI	8002	8	7002	3	6001	2	0	0	800	50	65	100
3207	3	207	Chilled VII	8002	10	7005	5	6002	3	0	0	1000	40	80	100
3208	3	208	Chilled VIII	8002	11	7005	6	6003	5	0	0	1500	20	95	100
3209	3	209	Chilled IX	8002	12	7008	7	6004	6	9001	1	2000	15	110	100
3210	3	210	Chilled X	8002	13	7008	8	6005	7	9001	2	3000	5	125	100
3301	3	301	Plated I	0	0	0	0	0	0	0	0	0	0	0	0
3302	3	302	Plated II	8003	3	0	0	0	0	0	0	100	99	5	100
3303	3	303	Plated III	8003	5	0	0	0	0	0	0	200	80	20	100
3304	3	304	Plated IV	8003	6	7003	1	0	0	0	0	400	70	35	100
3305	3	305	Plated V	8003	7	7003	2	0	0	0	0	600	60	50	100
3306	3	306	Plated VI	8003	8	7003	3	6001	2	0	0	800	50	65	100
3307	3	307	Plated VII	8003	10	7006	5	6003	3	0	0	1000	40	80	100
3308	3	308	Plated VIII	8003	11	7006	6	6005	5	0	0	1500	20	95	100
3309	3	309	Plated IX	8003	12	7007	7	6007	6	9001	1	2000	15	110	100
3310	3	310	Plated X	8003	13	7007	8	6009	7	9001	2	3000	5	125	100
3401	3	401	Insulated I	0	0	0	0	0	0	0	0	0	0	0	0
3402	3	402	Insulated II	8004	3	0	0	0	0	0	0	100	99	5	100
3403	3	403	Insulated III	8004	5	0	0	0	0	0	0	200	80	20	100
3404	3	404	Insulated IV	8004	6	7001	1	0	0	0	0	400	70	35	100
3405	3	405	Insulated V	8004	7	7001	2	0	0	0	0	600	60	50	100
3406	3	406	Insulated VI	8004	8	7001	3	6002	2	0	0	800	50	65	100
3407	3	407	Insulated VII	8004	10	7004	5	6004	3	0	0	1000	40	80	100
3408	3	408	Insulated VIII	8004	11	7004	6	6006	5	0	0	1500	20	95	100
3409	3	409	Insulated IX	8004	12	7008	7	6008	6	9001	1	2000	15	110	100
3410	3	410	Insulated X	8004	13	7008	8	6005	7	9001	2	3000	5	125	100
4101	4	101	Healthy I	6004	2	0	0	0	0	0	0	0	0	0	0
4102	4	102	Healthy II	6004	3	0	0	0	0	0	0	100	99	5	100
4103	4	103	Healthy III	6004	5	0	0	0	0	0	0	200	80	20	100
