INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT
ID	Name	ProgramType	TargetType	ElementType	MPNeed	PrepareTime	TimeToMaxPower	IncrementDmg	AnimDuration	Cooldown	AttackCount	AttackTime	AttackCoefficient	DmgType	BaseVal	AbilityBonus	AttrType	AttackPosType	AreaType	AreaWidth	AreaLength	ReqBaseStatAmount	Discipline	Karma	ObjectID	SelfStatusID	DestStatusID	TrainingTime	AbilityDesc1	Value1Prefix	Value1Suffix	Value2Prefix	Value2Suffix	AddEffectTitle1	AddEffectDesc1	AddEffectTitle2	AddEffectDesc2	NewAddition	ShortName	IconID
ID	Name	type	TargetType	ElementType	mp need	PrepareTime	Time to Max Power	Increment Dmg	AnimDuration	Cooldown	AttackCount	AttackTime	AttackCoefficient	DmgType	BaseVal	AbilityBonus	Related BASE STAT	AttackPosType	Area of Effect	Area Width	AreaLength	ReqBaseStatAmount	Discipline	Karma	ObjectID	SelfStatusID	DestStatusID	TrainingTime	General description of ability	Ability effect description and related value	Value1Suffix	Ability effect description and related value	Value2Suffix	New training level effect added	AddEffectDesc1	New training level effect added	AddEffectDesc2	NewAddition	ShortName	IconID
10001	normal attack	0	0	-1	0	0	0	0	200	200	1	0	1	1	1	1	4	0	0	0	4	1	0	0	0			0											normal attack	0
10002	2h attack	0	0	-1	0	0	0	0	200	200	1	0	1	1	1	1	4	0	0	0	4	1	0	0	0			0											2h attack	0
10003	fist attack	0	0	-1	0	0	0	0	200	200	1	0	1	1	1	1	4	0	0	0	4	1	0	0	0			0											fist attack	0
10201	Swath of Destruction I	0	0	-1	300	0	0	0	500	500	1	0	1	1	20	0.002	4	2	4	3	10	90	1	1100	0			5	Damage enemies with a fast offensive dash.	Damage enemies in dash path.									Swath of Destruction 	1
10202	Swath of Destruction II	0	0	-1	300	0	0	0	500	500	1	0	1	1	25	0.002	4	2	4	3	10	270	1	2000	0			10	Damage enemies with a fast offensive dash.	Damage enemies in dash path.								Damage increased.	Swath of Destruction 	1
10203	Swath of Destruction III	0	0	0	300	0	0	0	500	500	1	0	1	1	30	0.0025	4	2	4	3	10	450	1	3500	0		40201	20	Damage and scatter enemies with a flaming offensive dash.	Damage, knockback to enemies in dash path.				Ignition	Knocks back enemies			Ignition added.	Swath of Destruction 	1
10204	Swath of Destruction IV	0	0	0	300	0	0	0	500	500	1	0	1	1	35	0.0025	4	2	4	3	10	630	1	10000	0		40201	60	Damage and scatter enemies with a flaming offensive dash.	Damage, knockback to enemies in dash path.				Ignition	Knocks back enemies			Damage increased.	Swath of Destruction 	1
10205	Swath of Destruction V	0	0	0	300	0	0	0	500	500	1	0	1	1	40	0.003	4	2	4	3	10	810	1	21000	0		40202+40201	120	Damage and scatter enemies with a flaming offensive dash. Sets enemies on Fire.	Damage, knockback to enemies in dash path and burn for 3s.				Ignition	Knocks back enemies	Human Fireball	Enemies are set on fire for 3 sec.	Human Fireball added.	Swath of Destruction 	1
10206	Swath of Destruction VI	0	0	0	300	0	0	0	500	500	1	0	1	1	45	0.003	4	2	4	3	10	930	1	33000	0		40202+40201	240	Damage and scatter enemies with a flaming offensive dash. Sets enemies on Fire.	Damage, knockback to enemies in dash path and burn for 3s.				Ignition	Knocks back enemies	Human Fireball	Enemies are set on fire for 3 sec.	Damage increased.	Swath of Destruction 	1
10301	Seeing Red I	0	3	-1	400	0	0	0	0	10000	1	0	1	1	0	0	4	1	1	0	5	30	1	700	0	40301		5	Draw strength from anger to increase damage and improve all Prowess abilities.	Increases POWER for 10s. Increases attack damage and improves all Prowess abilities.									Seeing Red	2
10302	Seeing Red II	0	3	-1	400	0	0	0	0	10000	1	0	1	1	0	0	4	1	1	0	5	210	1	1200	0	40302		10	Draw strength from anger to increase damage and improve all Prowess abilities.	Increases POWER for 10s. Increases attack damage and improves all Prowess abilities.								Increased POWER.	Seeing Red	2
