INT	INT	INT	INT	STRING	INT	INT
ObjectID	Type	SleepTime	Time	Param	SkillID	TargetType
ObjectID	Type	SleepTime	Time	Param	SkillID	TargetType
1	0	0	5000	15	20001	0
2	0	0	5000	15	20002	0
3	1	200	7000	3.5	21701	0
14	1	200	7000	3.5	21702	0
15	1	200	7000	3.5	21703	0
4	2	0	7000	3	21801	0
10	2	0	7000	4	21802	0
11	2	0	7000	4	21803	0
5	2	0	7000	2.5	21901	0
6	0	0	1250	12	30009	1
7	0	0	2500	12	30010	1
8	1	0	2100	5.6	20201	0
12	1	0	3100	5.6	20202	0
13	1	0	3100	6.7	20203	0
9	0	0	1250	12	30016	0
16	1	0	2100	5.6	30201	0
17	3	0	2100	5.6	40101	0
