INT	STRING	INT	INT	INT	FLOAT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
ID	Name	ReplaceType	status type	Target	Bonus	Duration	Chance	ReplaceRule	EndCondition	Effect	Des	statusType	ContinueType	Tick	ActiveAtStart	elementType	IconIdx	UIPriority
ID	Buff Name	ReplaceType	status type	Target	NOT USED	Duration	Chance	NOT USED	NOT USED	Effect	Buff Description	statusType	NOT USED	NOT USED	NOT USED	NOT USED	II	UIPriority
40202	Swath of Destruction II Burning	0	0	0	0.05	3000	100	0	1	50202	Swath of Destruction II Burning	306	1	3	0	-1	33	0
40203	Swath of Destruction III Burning	0	0	0	0.05	3000	100	0	1	50202	Swath of Destruction III Burning	306	1	3	0	-1	33	0
40201	Swath of Destruction Knockback	0	0	0	2	400	100	0	1	50201	Swath of Destruction Knockback	304	0	0	0	-1	0	-1
40401	Hungry Cleave I	0	0	0	0.5	0	100	0	0	50301	Hungry Cleave I	307	0	0	0	-1	5	0
40402	Hungry Cleave II	0	0	0	0.5	0	100	0	0	50302	Hungry Cleave II	307	0	0	0	-1	5	0
40403	Hungry Cleave III	0	0	0	0.5	0	100	0	0	50302	Hungry Cleave III	307	0	0	0	-1	5	0
40501	Rain of Blows II and III Stun	0	0	0	0	2500	100	3	1	60005	Rain of Blows II and III Stun	300	0	0	0	-1	27	0
40502	Rain of Blows III Burning	0	0	0	0	3000	100	0	0	50501	Rain of Blows III Burning	306	1	3	0	-1	33	0
60007	Boss Slow	0	0	0	0.25	5000	100	0	0	61007	Slowed	302	0	0	0	-1	27	0
40601	Shockwave Knockback	0	0	0	2	400	100	0	0	50001	Shockwave Knockback	304	0	0	0	-1	0	-1
40002	Revival Knockback	0	0	0	2	400	100	0	0	50001	Revival Knockback	304	0	0	0	-1	0	-1
40003	Shinigami Scroll Revival Knockback	0	0	0	2	400	100	0	0	50001	Shinigami Scroll Revival Knockback	304	0	0	0	-1	0	-1
60701	Boss Meteor Rain	0	0	0	3	2100	100	0	0	91201	Boss Meteor Rain	0	0	0	0	-1	11	0
40701	Meteor Rain I	0	0	0	3	2100	100	0	0	61201	Meteor Rain I	0	0	0	0	-1	11	0
40702	Meteor Rain II	0	0	0	3	3100	100	0	0	61201	Meteor Rain II	0	0	0	0	-1	11	0
40703	Meteor Rain III	0	0	0	3	3100	100	0	0	61201	Meteor Rain III	0	0	0	0	-1	11	0
40704	Meteor Rain III Slow	0	0	0	3	3100	100	0	0	61202	Meteor Rain III Slow	303	0	0	0	-1	11	0
40801	Skin of Stone I	3	0	2	0.2	10000	100	0	0	15001	Skin of Stone I	402	0	0	0	-1	31	0
40802	Skin of Stone II	3	0	2	0.2	12000	100	0	0	16001+16002+16003+16004+15002	Skin of Stone II	402	0	0	0	-1	31	0
40803	Skin of Stone III	3	0	2	0.2	12000	100	0	0	16001+16002+16003+16004+15002	Skin of Stone III	402	0	0	0	-1	31	0
40804	Skin of Stone III  Add Stun to enemy	0	1	0	0	12000	100	0	0	16005	Skin of Stone III Stun	0	0	0	0	-1	0	-1
40805	Skin of Stone III Stun	3	0	0	0	1500	3	0	0	60005	Skin of Stone III Stun	300	0	0	0	-1	27	0
40901	Haunting Scream I	0	0	0	0	4000	100	0	0	61004	Haunting Scream I	308	0	0	0	-1	34	0
40902	Haunting Scream II	0	0	0	0	5000	100	0	0	61004	Haunting Scream II	308	0	0	0	-1	34	0
40903	Haunting Scream III	0	0	0	0	5000	100	0	0	61004	Haunting Scream III	308	0	0	0	-1	34	0
41001	Iron Thorns I	3	1	0	0	10000	100	0	1	61101	Iron Thorns I	400	0	0	0	-1	35	0
41002	Iron Thorns II	3	1	0	0	12000	100	0	1	61102	Iron Thorns II	400	0	0	0	-1	35	0
41003	Iron Thorns III	3	1	0	0	12000	100	0	1	61104+61103	Iron Thorns III	400	0	0	0	-1	35	0
41004	Iron Thorns III Poison	0	0	0	0.05	3000	20	0	0	61105	Iron Thorns III Poison	305	1	3	0	-1	32	0
41101	Ring of Frost I	3	0	0	0.25	4000	100	0	0	51101	Ring of Frost I	302	0	0	0	-1	7	0
