INT	FLOAT	INT	INT	INT	INT
Level 	DamageModifier	ChanceNoAttribute 	 Enchant 	 Colour 	Element 
Level 	Damage Modifier (%)	Chance No Attribute Occurs %	Chance Enchant Occurs %	Chance Colour Occurs %	Chance Element Occurs %
1	0	0	100	1	0
2	0	0	100	1	0
3	0	0	100	2	0
4	0	0	100	2	0
5	0	0	100	3	0
6	0	0	100	3	0
7	0	0	100	4	0
8	0	0	100	4	0
9	0	0	100	5	0
10	0	0	100	5	0
11	0	0	100	6	1
12	0	0	100	6	1
13	0	0	100	7	1
14	0	0	100	7	2
15	0	0	100	8	2
16	0	0	100	8	2
17	0	0	100	9	3
18	0	0	100	9	3
19	0	0	100	10	3
20	0	0	100	10	4
21	0	0	100	11	4
22	0	0	100	11	4
23	0	0	100	12	5
24	0	0	100	12	5
25	0	0	100	13	5
26	0	0	100	13	6
27	0	0	100	14	6
28	0	0	100	14	6
29	0	0	100	15	7
30	0	0	100	15	7
31	0	0	100	16	7
32	0	0	100	16	8
33	0	0	100	17	8
34	0	0	100	17	8
35	0	0	100	18	9
36	0	0	100	18	9
37	0	0	100	19	9
38	0	0	100	19	10
39	0	0	100	20	10
40	0	0	100	20	10
41	0	0	100	20	10
42	0	0	100	20	10
43	0	0	100	20	10
44	0	0	100	20	10
45	0	0	100	20	10
46	0	0	100	20	10
47	0	0	100	20	10
48	0	0	100	20	10
49	0	0	100	20	10
50	0	0	100	20	10
51	0	0	100	20	10
52	0	0	100	20	10
53	0	0	100	20	10
54	0	0	100	20	10
55	0	0	100	20	10
56	0	0	100	20	10
57	0	0	100	20	10
58	0	0	100	20	10
59	0	0	100	20	10
60	0	0	100	20	10
