INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	STRING
prefabID	prefab	Min	Max	Name String	Head Name String	Chest Name String	Legs Name String	Type	Type String
Weapon Prefab	Cloak Prefab	Min Item Level for Prefab	Max Item Level for Prefab	Name String	Head Name String	Chest Name String	Legs Name String	Type	Type String
101	MNK01	1	8	Monk 	Hat	Robe	Wrap	8	Light 
102	MNK02	4	18	Priest 	Hat	Robe	Wrap	8	Light 
103	MNK03	13	30	Holy 	Hat	Robe	Wrap	8	Light 
201	NIN01	1	8	Ninja 	Mask	Vest	Pants	8	Light 
202	NIN02	4	18	Spy 	Mask	Vest	Pants	8	Light 
203	NIN03	13	30	Shadow 	Mask	Vest	Pants	8	Light 
301	SLD01	1	8	Soldier 	Helm	Mail	Greaves	16	Medium 
302	SLD02	4	18	Bandit 	Helm	Mail	Greaves	16	Medium 
303	SLD03	13	30	Ronin 	Helm	Mail	Greaves	16	Medium 
401	SAM01	1	8	Samurai 	Helm	Plate	Greaves	32	Heavy 
402	SAM02	4	18	Hatamoto 	Helm	Plate	Greaves	32	Heavy 
403	SAM03	13	30	Bushido 	Helm	Plate	Greaves	32	Heavy 
501	TRP01	4	18	Skinner 	Hat	Vest	Pants	8	Light 
502	TRP02	13	42	Trapper 	Hat	Vest	Pants	8	Light 
503	TRP03	22	60	Wild 	Hat	Vest	Pants	8	Light 
601	HES01	4	18	Conscript 	Hat	Coat	Pants	16	Medium 
602	HES02	13	42	Infantry 	Hat	Coat	Pants	16	Medium 
603	HES03	22	60	Hessian 	Hat	Coat	Pants	16	Medium 
701	KAB01	4	18	Hirandai 	Mask	Kataginu	Hakama	16	Medium 
702	KAB02	13	42	Chunadai 	Mask	Kataginu	Hakama	16	Medium 
703	KAB03	22	60	Onadai 	Mask	Kataginu	Hakama	16	Medium 
801	ORD01	13	42	Scout 	Band	Mail	Pants	16	Medium 
802	ORD02	22	60	Hunter 	Band	Mail	Pants	16	Medium 
803	ORD03	31	60	Order 	Band	Mail	Pants	16	Medium 
901	CHA01	13	42	Yokai 	Helm	Plate	Greaves	32	Heavy 
902	CHA02	22	60	Yasha 	Helm	Plate	Greaves	32	Heavy 
903	CHA03	31	60	Onibaba 	Helm	Plate	Greaves	32	Heavy 
