INT	STRING
ID	Dialogue
ID	Dialogue text
0	[DEBUG] Gate Closed
1	[DEBUG] Gate Open
2	Come visit!
3	New stock just in!
4	New missions available!
5	Help protect our people
6	Do you need a sushi roll?
7	Psssst! Need a lockbox key?
8	Ben is a Noobcake
9	[invalid Chars] … ’
10	New missions available!
11	Help protect our people
12	Thank the Three for your help
13	Mission Vendor (4)
14	Mission Vendor (5)
15	Mission Vendor (6)
16	Mission Vendor (7)
17	Mission Vendor (8)
18	Mission Vendor (9)
19	Mission Vendor (10)
20	New stock just in! Check it out!
21	Come visit the Item shop!
22	Buy or sell items here!
23	Item Vendor (4)
24	Item Vendor (5)
25	Item Vendor (6)
26	Item Vendor (7)
27	Item Vendor (8)
28	Item Vendor (9)
29	Item Vendor (10)
30	The Ability Training shop is now open!
31	Visit here to expand your combat skillset!
32	Learn a new Ability today!
33	Ability Vendor (4)
34	Ability Vendor (5)
35	Ability Vendor (6)
36	Ability Vendor (7)
37	Ability Vendor (8)
38	Ability Vendor (9)
39	Ability Vendor (10)
40	Spirit Helpers can boost your skills!
41	Come visit!
42	Your favourite Spirit Helper is available
43	Spirit Helper Vendor (4)
44	Spirit Helper Vendor (5)
45	Spirit Helper Vendor (6)
46	Spirit Helper Vendor (7)
47	Spirit Helper Vendor (8)
48	Spirit Helper Vendor (9)
49	Spirit Helper Vendor (10)
50	Help protect our people.
51	Thank the Three for your help.
52	My items may help you on your way.
53	Ainu Elder (4)
54	Ainu Elder (5)
55	Ainu Elder (60
56	Ainu Elder (7)
57	Ainu Elder (8)
58	Ainu Elder (9)
59	Ainu Elder (10)
60	Akaneiro (60)
61	Akaneiro (61)
62	Akaneiro (62)
63	Akaneiro (63)
64	Akaneiro (64)
65	Akaneiro (65)
66	Akaneiro (66)
67	Akaneiro (67)
68	Akaneiro (68)
69	Akaneiro (69)
70	We are currently repairing shop damage
71	The Crafting Shop is opening soon!
72	Item Crafting currently out of service!
73	Craft any item you want
74	I can help create the perfect weapon
75	Bring your materials to me
76	Craft Vendor (7)
77	Craft Vendor (8)
78	Craft Vendor (9)
79	Craft Vendor (10)
80	I only deal with quality items
81	Rarity is my speciality!
82	I have the item you need… At a price
83	Hey, look what I picked up
84	Psssst! Over here, check this out!
85	You wouldn't believe what I just found
86	Rare Item Vendor (7)
87	Rare Item Vendor (8)
