INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
ID	AreaName	AreaDescription	RecommendedPlayerLevel	LockAreaDescription1	LockAreaDescription2	LockAreaDescription3	MissionName	MissionObjective	MissionSuccess	LevelCap
ID	AreaName	AreaDescription	RecommendedPlayerLevel	LockAreaDescription1	LockAreaDescription2	LockAreaDescription3	MissionName	MissionObjective	MissionSuccess	LevelCap
999	Yomi Village	Originally an Ainu Tribal camp, Japanese settlement and European fuelled trade and further development.					Welcome, Red Hunter	Red Hunter! Thank the three you've arrived - the village is overrun with wolves, tainted by some demonic anger. Together we can push them back. The Elder Shaman will support us. Attack now!	The village is secure, for now. You must be tired after this battle coupled with your journey here. Rest in Akane Lodge - it is your new home. Greet me when you rise, and I will provide further orders. 	
111	Shigemori River	Flowing down from the central mountain ranges of Yomi Island, this river borders a deep pine forest and runs alongside the Temple Highroad.	[#ff0000]Recommended level: 1		[#ffffff]3 Missions - Max character level 4.		Wicked Beasts	Local wolf packs have become extremely hostile, afflicted by some maddening influence. Investigate the neighboring Shigemori Village. It has been days since last contact - we fear the worst.	We must take revenge on these malevolent Yokai!	0
112							Rotten Core	Demon Wolves gather in great numbers at the Bleeding Grove Orchard. Collect evidence of Yokai influence from demon wolf corpses. Check the nearby Alpha Den for further clues.	It saddens me to hear how these creatures have been used so…	
113							Raging Ushi Oni	A powerful Ushi Oni has rallied the Amano Imps to his banner to sow chaos on Yomi Island. At night fall, infiltrate their territory. Kill the Imp Captains – then take the head of their leader.	A Demon King has fallen! You have proven yourself a true Hunter of Akane. I commend you.	
121	Jawbone Ravine	Craggy ravines cut through forested areas and expose natural cave mouths that lead to deeper underground networks.	[#ff0000]Recommended level: 4	[#414141]Unlock Jawbone Ravine To:	[#ffffff]Access 3 More Missions & Raise Character Level Cap to 8.	[#414141]Complete Shigemori River to reach this area.	The Outcast	The spirits of fallen wolves roam Jawbone Ravine, attacking all who approach. Meet with our informant, Brother Daisuke. Travel with him to Moroko's Maw.	To desecrate the souls of such noble creatures is a most foul act...	4
122							Stirring Spirits	The Ghostclaw Cult is responsible for raising wolves from death. Explore the cave system - Daisuke can open the way. Search for information on Ghostclaw activity there.	The truth behind the Ghostclaw Cult is disturbing indeed. We must put them to the sword.	
123							Shade of Moroko	The spirit of the Wolf Lord Moroko has been cruelly twisted by Ghostclaw Cult magic. Eliminate the Ghostclaw High Cultist and Destroy Moroko’s Spirit. Daisuke will release Moroko’s soul.	The great patron of all hunters, Moroko, now rests again. You have excelled in your duty.	
131	Bloodroot Cemetery	Gnarled roots choke and grasp at clusters of forgotten gravestones and weathered monuments.	[#ff0000]Recommended level: 8	[#414141]Unlock Bloodroot Cemetery To:	[#ffffff]Access 3 More Missions & Raise Character Level Cap to 12.	[#414141]Complete Jawbone Ravine to reach this area.	Hedge Trimming	The forest has awoken. Bloodthirsty trees - Jinmenju - attack and consume all who travel on the temple road. Thin their numbers and destroy the Witching Tree.	The spread of the forest has slowed now that the Witching Tree has fallen. You must press onward.	8
