INT	INT	INT	INT	INT	INT	INT	INT
PlayerLevel	FirstRevive	SecondRevive	ThirdRevive	FourthRevive	FifthRevive	SixthRevive	SeventhRevive
PlayerLevel	FirstRevive	SecondRevive	ThirdRevive	FourthRevive	FifthRevive	SixthRevive	SeventhRevive
1	0	0	0	0	0	0	0
2	1	2	3	5	8	13	21
3	3	5	8	13	21	34	54
4	4	6	10	16	26	42	67
5	5	8	13	21	34	54	86
6	12	19	30	48	77	123	197
7	14	22	35	56	90	144	230
8	16	26	42	67	107	171	274
9	27	43	69	110	176	282	451
10	30	48	77	123	197	315	504
11	33	53	85	136	218	349	558
12	48	77	123	197	315	504	806
13	52	83	133	213	341	546	874
14	56	90	144	230	368	589	942
15	75	120	192	307	491	786	1258
16	80	128	205	328	525	840	1344
17	85	136	218	349	558	893	1429
18	108	173	277	443	709	1134	1814
19	114	182	291	466	746	1194	1910
20	120	192	307	491	786	1258	2013
21	147	235	376	602	963	1541	2466
22	154	246	394	630	1008	1613	2581
23	161	258	413	661	1058	1693	2709
24	192	307	491	786	1258	2013	3221
25	200	320	512	819	1310	2096	3354
26	208	333	533	853	1365	2184	3494
27	243	389	622	995	1592	2547	4075
28	252	403	645	1032	1651	2642	4227
29	261	418	669	1070	1712	2739	4382
30	300	480	768	1229	1966	3146	5034
31	310	496	794	1270	2032	3251	5202
32	320	512	819	1310	2096	3354	5366
33	363	581	930	1488	2381	3810	6096
34	374	598	957	1531	2450	3920	6272
35	385	616	986	1578	2525	4040	6464
36	432	691	1106	1770	2832	4531	7250
37	444	710	1136	1818	2909	4654	7446
38	456	730	1168	1869	2990	4784	7654
39	507	811	1298	2077	3323	5317	8507
40	520	832	1331	2130	3408	5453	8725
41	533	853	1365	2184	3494	5590	8944
42	588	941	1506	2410	3856	6170	9872
43	602	963	1541	2466	3946	6314	10102
44	616	986	1578	2525	4040	6464	10342
45	675	1080	1728	2765	4424	7078	11325
46	690	1104	1766	2826	4522	7235	11576
47	705	1128	1805	2888	4621	7394	11830
48	768	1229	1966	3146	5034	8054	12886
49	784	1254	2006	3210	5136	8218	13149
50	800	1280	2048	3277	5243	8389	13422
51	867	1387	2219	3550	5680	9088	14541
52	884	1414	2262	3619	5790	9264	14822
53	901	1442	2307	3691	5906	9450	15120
54	972	1555	2488	3981	6370	10192	16307
55	990	1584	2534	4054	6486	10378	16605
56	1008	1613	2581	4130	6608	10573	16917
57	1083	1733	2773	4437	7099	11358	18173
58	1102	1763	2821	4514	7222	11555	18488
59	1121	1794	2870	4592	7347	11755	18808
60	1200	1920	3072	4915	7864	12582	20131
61	1220	1952	3123	4997	7995	12792	20467
62	1240	1984	3174	5078	8125	13000	20800
63	1323	2117	3387	5419	8670	13872	22195
64	1344	2150	3440	5504	8806	14090	22544
65	1365	2184	3494	5590	8944	14310	22896
66	1452	2323	3717	5947	9515	15224	24358
67	1474	2358	3773	6037	9659	15454	24726
68	1496	2394	3830	6128	9805	15688	25101
69	1587	2539	4062	6499	10398	16637	26619
70	1610	2576	4122	6595	10552	16883	27013
71	1633	2613	4181	6690	10704	17126	27402
72	1728	2765	4424	7078	11325	18120	28992
73	1752	2803	4485	7176	11482	18371	29394
74	1776	2842	4547	7275	11640	18624	29798
75	1875	3000	4800	7680	12288	19661	31458
76	1900	3040	4864	7782	12451	19922	31875
77	1925	3080	4928	7885	12616	20186	32298
78	2028	3245	5192	8307	13291	21266	34026
79	2054	3286	5258	8413	13461	21538	34461
80	2080	3328	5325	8520	13632	21811	34898
81	2187	3499	5598	8957	14331	22930	36688
82	2214	3542	5667	9067	14507	23211	37138
83	2241	3586	5738	9181	14690	23504	37606
84	2352	3763	6021	9634	15414	24662	39459
85	2380	3808	6093	9749	15598	24957	39931
86	2408	3853	6165	9864	15782	25251	40402
87	2523	4037	6459	10334	16534	26454	42326
88	2552	4083	6533	10453	16725	26760	42816
89	2581	4130	6608	10573	16917	27067	43307
90	2700	4320	6912	11059	17694	28310	45296
91	2730	4368	6989	11182	17891	28626	45802
92	2760	4416	7066	11306	18090	28944	46310
93	2883	4613	7381	11810	18896	30234	48374
94	2914	4662	7459	11934	19094	30550	48880
95	2945	4712	7539	12062	19299	30878	49405
96	3072	4915	7864	12582	20131	32210	51536
97	3104	4966	7946	12714	20342	32547	52075
98	3136	5018	8029	12846	20554	32886	52618
99	3267	5227	8363	13381	21410	34256	54810
100	3300	5280	8448	13517	21627	34603	55365
