INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
ID	TypeID	PrefabID	Name (Not Used)	Gem	Element	Enchant	LimitCount	Level	KarmaPrice	CrystalPrice	Visible
ID	TypeID	PrefabID	Name	Gem	Element	Enchant	LimitCount	Level	KarmaPrice	CrystalPrice	Visible
1050	1001	2	Thirsty Katana	0	0	201	100	1	0	1	1
1051	1010	2	Raging Ruby Claymore	1	0	101	100	5	0	9	1
1052	1006	5	Brutal Flame Ruby Great Axe	1	201	301	50	10	0	20	1
1053	1002	6	Raging Malachite Frost Axe	6	101	102	50	17	0	26	1
1054	1007	8	Brutal Obsidian Blast Great Maul 	7	302	303	20	24	0	189	1
1055	2003	402	Fortified Hatamoto Pants	0	0	301	100	1	0	1	1
1056	2001	401	Fortified Emerald Samurai Helm 	3	0	301	100	5	0	9	1
1057	2001	103	Fur-lined Healthy Saphire Holy Helm	2	101	101	50	10	0	26	1
1058	2002	501	Chilled Focussed Garnet Skinner Plate	4	202	201	50	17	0	60	1
1059	2003	602	Healthy Insulated Jade Infantry Pants	9	402	102	20	24	0	99	1
1060	3001	2	Nimble Ring	0	0	101	100	1	0	1	1
1061	3001	3	Saphire Ring	2	0	0	100	2	0	3	1
1062	3002	3	Ameythist Storm Necklace	5	401	0	50	5	0	12	1
1063	2010	13	Healthy Malachite Rough Long Cloak	6	0	102	50	17	0	47	1
1064	2010	12	Focussed Jade Plated Akane Hood	9	302	201	20	24	0	77	1
9500	3002	6	Steam Necklace	101	0	0	0	1	0	0	0
9000	2010	101	Red Cap's Cloak	9	203	203	100	1	10	0	0
9001	1002	101	Hunter's Axe	9	203	203	100	10	10	0	0
9002	2001	1001	Cherry_Head	0	0	0	100	1	10	0	0
9003	2001	1002	GrandmaWolf_Head	0	0	0	100	1	10	0	0
9004	2001	1003	Hula_Head	0	0	0	100	1	10	0	0
9005	2001	1004	Sailor_Head	0	0	0	100	1	10	0	0
9006	2001	1005	Straw_Head	0	0	0	100	1	10	0	0
9007	2001	1006	Teapot_Head	0	0	0	100	1	10	0	0
